"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bahrain,20778.838,22478.878,24507.463,26349.956,27516.681,27186.194,26918.089,26308.146,27855.135,28223.52,30043.662,30499.137,32871.284,35268.839,36213.579,36705.158,37588.934,38116.8,39364.128,41202.932,43920.061,44376.286,43349.59,43671.649,44525.313,45440.074,46153.472,47436.56,48243.955,46748.709,47117.071,50673.418,54489.106,54035.418,51938.149,45626.742,44833.968,47486.023,49581.168,52233.693,50648.156,53384.101,57424.103,59689.294,61728.823,63592.097,65469.124,67423.725
Bangladesh,511.187,575.447,614.329,650.679,684.262,713.385,737.07,757.259,782.123,826.606,875.478,921.455,965.892,1009.411,1054.688,1104.34,1156.047,1212.482,1261.495,1321.612,1399.641,1472.316,1539.43,1631.989,1749.669,1889.993,2053.931,2219.544,2359.681,2473.248,2624.226,2820.247,3137.639,3333.284,3583.72,3810.078,4118.938,4450.315,4870.367,5329.609,5287.471,5899.594,6633.085,7236.856,7880.388,8543.74,9245.484,10000.965
Barbados,6000.493,6420.83,6464.076,6732.839,7207.857,7496.082,8011.595,8394.599,8962.916,9615.087,9611.807,9516.415,9146.665,9405.882,9764.562,10134.77,10690.022,11347.01,11859.29,12021.974,12797.794,12736.774,12999.536,13505.129,14019.847,14982.457,16259.148,16997.569,17370.85,16526.226,16278.008,16443.726,15425.321,15432.539,15252.103,15571.249,15996.873,15817.713,16060.406,16096.441,14018.112,14767.651,17407.896,18761.476,19749.914,20626.485,21461.573,22233.861
Belarus,,,,,,,,,,,5269.031,5379.227,4962.93,4683.885,4229.17,3858.481,4052.127,4615.586,5085.754,5344.205,5796.882,6227.661,6682.27,7344.615,8463.027,9618.436,10982.698,12318.895,13893.766,14047.51,15355.013,16545.091,18097.31,18996.626,19017.148,18111.125,17786.655,18334.758,19406.91,20080.202,20226.226,21689.663,21685.822,22532.435,23704.013,24474.624,25225.559,26003.948
Belgium,10768.951,11745.002,12556.111,13083.946,13897.562,14566.858,15129.227,15851.633,17166.629,18362.214,19607.204,20560.895,21276.737,21472.245,22566.181,23519.055,24236.313,25521.086,26257.719,27513.08,29109.973,30021.824,30870.862,31665.269,33544.993,35232.821,37014.524,39140.269,39760.009,38891.795,40162.441,41082.422,42409.301,43755.157,45043.18,46365.188,48679.68,50726.554,52665.775,54488.088,51721.573,57035.641,61586.771,64028.499,66252.995,68136.224,70094.852,72103.851
Belize,1373.986,1504.191,1449.535,1554.164,1745.062,1726.647,1836.514,2237.036,2517.249,2943.461,3300.661,3705.45,4140.186,4372.463,4345.742,4352.016,4383.677,4456.725,4508.84,4880.562,5489.413,5749.044,5984.875,6504.911,6812.946,6998.348,7349.745,7439.073,7587.152,7457.229,7619.798,7673.58,7253.432,7155.27,7117.915,7142.773,7083.922,6918.229,7041.392,7123.459,5846.546,6514.916,7147.399,7448.685,7632.045,7788.501,7941.726,8099.35
Benin,984.882,1062.02,1112.43,1097.192,1106.489,1152.738,1170.772,1139.488,1181.805,1158.911,1270.038,1323.031,1345.568,1407.697,1417.412,1484.893,1528.621,1595.109,1628.067,1672.847,1757.719,1836.784,1893.513,1937.578,2016.209,2053.529,2137.538,2261.253,2350.161,2353.036,2364.378,2416.327,2498.496,2669.688,2833.413,2886.829,3004.808,3044.517,3234.838,3422.429,3498.604,3777.529,4136.862,4399.583,4648.163,4891.278,5143.988,5410.319
Bhutan,475.12,575.418,644.327,702.532,764.428,800.086,853.808,1016.22,1173.227,1262.994,1413.461,1535.675,1624.645,1746.004,1848.029,2012.13,2154.392,2277.53,2382.116,2516.191,2678.443,2845.814,3075.203,3367.542,3630.369,3923.183,4256.271,4873.394,5444.284,5726.408,6267.618,6943.475,7599.81,7894.249,8382.376,9238.773,10067.515,10851.904,11476.237,12147.931,11884.268,11802.044,12966.816,13822.744,14961.001,16054.1,17168.571,18340.316
Bolivia,2069.783,2099.042,2097.179,2048.454,2074.817,2061.505,2006.989,2064.206,2154.202,2276.016,2420.132,2579.895,2627.291,2726.46,2833.679,2969.267,3093.878,3238.761,3373.338,3369.787,3428.929,3498.81,3575.072,3677.238,3864.14,4089.387,4342.517,4585.306,4878.831,4992.663,5177.257,5472.555,5937.484,6645.213,7080.98,7160.045,7528.313,8456.073,8896.101,9126.859,8313.768,9055.638,9855.931,10379.881,10874.828,11338.57,11779.363,12239.386
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,3027.956,3811.412,4391.437,4917.532,5241.109,5479.938,5840.359,6183.778,6741.71,7241.862,7885.999,8597.061,9271.75,9299.635,9565.556,9971.438,10292.31,11038.037,11268.419,11709.916,12604.181,13240.387,14095.89,14775.381,14503.561,16009.957,17471.438,18448.494,19520.265,20577.414,21668.133,22827.365
