Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Belarus,,,,,,,,,,,,,0,0,0,0,0,0.001,0.001,0.006,0.016,0.029,0.041,0.052,0.063,0.072,0.077,0.085,0.101,0.106,0.117,0.196,0.32,0.374,0.449,0.525,0.564,0.609,0.667,0.712,0.787,0.854,0.949,1.054,1.157,1.222,1.265,1.306
Belgium,0.842,0.809,0.819,0.833,0.848,0.86,0.866,0.86,0.848,0.855,0.848,0.844,0.853,0.867,0.866,0.883,0.872,0.863,0.869,0.862,0.86,0.858,0.859,0.858,0.851,0.842,0.836,0.829,0.829,0.828,0.834,0.832,0.822,0.806,0.8,0.8,0.781,0.773,0.766,0.766,0.767,0.768,0.756,0.75,0.745,0.743,0.741,0.74
Belize,1.672,1.587,1.616,1.545,1.495,1.458,1.451,1.358,1.398,1.343,1.321,1.237,1.259,1.25,1.268,1.317,1.319,1.277,1.282,1.235,1.214,1.184,1.186,1.131,1.123,1.12,1.132,1.155,1.162,1.124,1.13,1.151,1.239,1.264,1.312,1.319,1.342,1.375,1.346,1.337,1.294,1.282,1.265,1.273,1.27,1.27,1.27,1.27
Benin,144.645,112.014,120.173,129.603,139.203,138.66,130.254,131.767,126.957,124.406,115.342,112.413,113.233,113.242,149.713,168.78,177.194,180.579,187.911,203.026,207.146,206.574,210.633,212.88,208.911,211.256,209.224,204.514,213.577,217.606,216.916,220.434,234.004,231.477,225.044,220.524,214.434,216.774,212.965,208.557,212.005,205.089,201.442,198.108,196.651,196.679,196.835,196.953
Bhutan,4.996,4.776,4.776,4.933,5.153,5.396,5.646,5.705,5.89,6.213,6.373,6.609,7.06,7.497,8.231,8.893,9.459,10.286,11.311,12.123,12.355,12.515,12.951,13.186,13.277,13.501,13.836,14.038,14.357,14.997,15.613,16.397,17.148,18.135,18.677,18.587,18.831,19.208,19.379,19.291,19.765,19.892,19.91,20.463,21.017,21.569,22.081,22.56
Bolivia,0,0,0,0,0.002,0.189,0.612,0.681,0.777,0.846,0.948,1.08,1.195,1.244,1.315,1.435,1.572,1.634,1.729,1.746,1.796,1.79,1.812,1.889,1.987,2.041,2.25,2.352,2.548,2.47,2.655,2.981,3.045,3.033,3.018,2.941,2.835,2.749,2.767,2.699,2.618,2.552,2.388,2.362,2.386,2.42,2.456,2.493
Bosnia and Herzegovina,,,,,,,,,,,,,,,0.481,0.502,0.485,0.554,0.562,0.574,0.6,0.614,0.635,0.632,0.631,0.631,0.654,0.677,0.718,0.713,0.715,0.718,0.706,0.686,0.687,0.694,0.676,0.676,0.679,0.684,0.677,0.665,0.668,0.669,0.67,0.672,0.674,0.676
Botswana,0.42,0.37,0.385,0.399,0.47,0.562,0.59,0.674,0.821,0.838,0.801,0.824,0.886,0.959,1.073,1.13,1.322,1.364,1.515,1.714,1.862,1.957,1.92,1.935,2.08,2.335,2.456,2.536,2.721,3.112,3.312,3.655,3.964,4.126,4.284,4.43,4.575,4.734,4.626,4.56,4.701,4.63,4.595,4.651,4.755,4.868,4.981,5.104
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.012,0.284,0.539,0.627,0.664,0.689,0.734,0.758,0.802,0.867,0.97,1.018,1.061,1.099,1.139,1.215,1.296,1.388,1.473,1.606,1.701,1.813,1.989,2.133,2.182,2.226,2.28,2.368,2.526,2.573,2.631,2.667,2.688,2.707,2.732
Brunei Darussalam,,,,,,0.74,0.45,0.487,0.429,0.439,0.459,0.431,0.429,0.407,0.363,0.366,0.376,0.401,0.35,0.385,0.486,0.449,0.444,0.462,0.521,0.6,0.64,0.652,0.743,0.577,0.599,0.705,0.676,0.668,0.65,0.685,0.666,0.647,0.69,0.655,0.577,0.901,1.433,1.048,0.826,0.728,0.672,0.637
