Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Saint Kitts and Nevis,1.202,1.278,1.295,1.254,1.287,1.306,1.383,1.426,1.48,1.495,1.545,1.451,1.522,1.538,1.597,1.628,1.611,1.661,1.695,1.707,1.648,1.665,1.697,1.692,1.711,1.632,1.807,1.871,1.863,1.907,1.895,1.961,2.016,2.034,2.035,2.035,2.038,2.04,1.973,1.997,1.933,1.864,1.87,1.892,1.879,1.876,1.877,1.879
Saint Lucia,1.612,1.599,1.391,1.384,1.578,1.536,1.574,1.632,1.584,1.584,1.654,1.688,1.679,1.657,1.664,1.712,1.689,1.709,1.73,1.746,1.727,1.673,1.654,1.707,1.674,1.735,1.77,1.781,1.793,1.769,1.845,1.83,1.876,1.877,1.931,2.011,1.958,1.996,1.959,1.975,1.871,1.848,1.859,1.862,1.865,1.873,1.883,1.893
Saint Vincent and the Grenadines,1.26,1.373,1.405,1.408,1.425,1.429,1.468,1.553,1.516,1.511,1.555,1.56,1.554,1.509,1.512,1.514,1.543,1.534,1.56,1.575,1.535,1.595,1.581,1.525,1.546,1.546,1.561,1.636,1.641,1.609,1.675,1.636,1.65,1.643,1.596,1.605,1.533,1.59,1.573,1.584,1.584,1.529,1.497,1.494,1.487,1.487,1.488,1.488
Samoa,0.591,0.628,0.715,0.811,0.905,0.953,0.944,0.96,0.986,1.001,1.352,1.348,1.423,1.463,1.058,1.454,1.414,1.556,1.673,1.658,1.654,1.672,1.671,1.681,1.752,1.767,1.805,1.889,2.022,2.043,1.932,1.9,1.933,1.918,1.88,1.941,1.944,1.905,1.882,1.875,1.857,1.805,1.839,1.871,1.88,1.898,1.917,1.936
San Marino,,,,,,,,,,,,,,,,,,0.747,0.752,0.754,0.756,0.76,0.765,0.769,0.764,0.753,0.745,0.711,0.717,0.718,0.722,0.71,0.715,0.726,0.69,0.691,0.689,0.683,0.681,0.674,0.669,0.653,0.631,0.626,0.622,0.62,0.618,0.617
Saudi Arabia,1.309,1.336,1.338,1.303,1.246,1.195,0.857,0.892,0.785,0.82,0.847,0.8,0.78,0.749,0.742,0.769,0.814,0.828,0.705,0.796,0.863,0.83,0.866,0.869,0.94,1.095,1.185,1.252,1.445,1.21,1.402,1.586,1.65,1.666,1.646,1.591,1.639,1.649,1.863,1.795,1.62,1.785,1.948,1.793,1.712,1.663,1.629,1.605
Senegal,151.808,153.94,159.143,167.349,174.103,183.942,190.657,183.096,174.378,170.344,164.17,157.649,152.704,148.591,193.464,203.849,210.571,214.146,219.644,220.306,218.245,228.366,229.144,222.635,216.522,219.85,219.423,227.726,241.8,236.202,237.141,241.276,245.6,247.212,243.618,242.595,244.658,246.787,239.005,239.704,240.367,236.369,228.693,226.577,225.618,225.533,225.657,225.689
Serbia,,,,,,,,,,,,,,,,,,3.062,3.797,4.989,8.712,16.124,18.741,20.692,21.982,24.62,26.834,28.401,30.399,32.588,34.045,36.324,37.982,39.323,39.802,40.726,40.459,40.795,40.63,40.891,41.393,42.163,41.931,43.216,44.354,45.444,46.494,47.397
Seychelles,3.42,3.354,3.213,3.191,3.176,3.149,3.264,3.302,3.315,3.258,3.34,3.165,3.239,3.26,3.276,3.143,2.898,2.874,3.138,3.158,3.127,3.246,3.312,3.441,4.178,4.069,4.004,4.36,5.77,7.309,6.894,6.884,7.625,7.959,7.844,8.157,7.815,7.969,7.994,7.91,7.58,7.881,7.745,7.616,7.282,7.138,7.084,7.085
Sierra Leone,0.643,0.683,0.759,0.982,1.435,2.577,5.968,10.483,15.534,24.068,31.788,78.249,124.826,156.569,181.621,243.012,418.353,480.332,603.457,744.017,771.996,712.9,674.426,748.208,822.007,929.54,1012.854,1053.219,1136.653,1217.275,1409.382,1620.575,1750.438,1778.18,1808.755,1881.811,1975.344,2244.995,2500.065,2645.304,2899.115,3062.001,3233.913,3530.355,3828.315,4119.287,4400.935,4624.467
Singapore,1.131,1.093,1.077,1.069,1.04,0.993,0.961,0.943,0.96,0.963,0.971,0.981,0.973,0.983,0.996,1.006,1.003,0.997,0.973,0.925,0.939,0.902,0.88,0.848,0.858,0.848,0.838,0.864,0.836,0.855,0.854,0.847,0.846,0.859,0.864,0.88,0.878,0.886,0.896,0.877,0.841,0.84,0.818,0.81,0.802,0.798,0.794,0.79
Slovak Republic,,,,,,,,,,,,,,0.318,0.353,0.376,0.385,0.403,0.417,0.441,0.472,0.486,0.497,0.513,0.529,0.526,0.525,0.517,0.521,0.512,0.508,0.506,0.505,0.491,0.485,0.491,0.503,0.503,0.501,0.504,0.51,0.502,0.498,0.503,0.5,0.499,0.499,0.499
Slovenia,,,,,,,,,,,,,0.289,0.332,0.358,0.393,0.429,0.457,0.486,0.51,0.527,0.56,0.593,0.614,0.618,0.609,0.603,0.612,0.627,0.645,0.63,0.624,0.607,0.59,0.591,0.595,0.577,0.568,0.566,0.568,0.568,0.56,0.558,0.569,0.577,0.583,0.588,0.591
Solomon Islands,0.681,0.703,0.749,0.771,0.825,0.875,0.901,0.981,1.107,1.102,1.424,1.477,1.634,1.868,2.34,2.511,2.763,2.947,3.239,3.439,3.55,3.815,4.181,4.356,4.472,4.959,5.236,5.652,5.983,6.343,6.646,7.131,7.504,7.498,7.648,7.841,7.767,7.728,7.769,7.729,7.897,7.904,7.828,7.872,7.965,8.084,8.218,8.345
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,0.356,0.432,0.402,0.357,0.343,0.356,0.35,0.368,0.392,0.392,0.411,0.417,0.427,0.439,0.452,0.464
South Africa,,,,,,,,,,,,,,1.743,1.874,2.034,2.158,2.294,2.452,2.584,2.759,2.909,3.223,3.363,3.473,3.556,3.658,3.856,4.08,4.406,4.62,4.777,5.108,5.296,5.572,5.825,6.159,6.427,6.525,6.699,6.968,7.137,6.972,6.988,7.113,7.284,7.474,7.667
"South Sudan, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.593,2.291,2.501,2.609,3.268,13.07,35.505,58.792,72.894,102.108,133.647,183.373,342.355,347.422,341.921,352.1,367.124
Spain,0.337,0.352,0.376,0.407,0.433,0.457,0.493,0.509,0.518,0.532,0.55,0.57,0.595,0.614,0.623,0.631,0.641,0.645,0.654,0.661,0.669,0.681,0.698,0.712,0.72,0.727,0.733,0.738,0.74,0.737,0.729,0.714,0.695,0.675,0.662,0.665,0.643,0.63,0.623,0.62,0.619,0.608,0.583,0.572,0.566,0.564,0.563,0.562
Sri Lanka,5.084,5.34,5.58,6.368,7.282,7.103,7.38,7.781,8.258,8.818,10.227,10.329,11.909,12.714,13.356,14.225,14.326,14.8,17.014,17.718,18.172,20.283,21.641,22.315,23.644,25.314,27.325,30.339,34.628,36.431,38.625,39.289,41.447,42.939,44.298,45.183,46.283,49.39,50.084,50.55,51.658,52.424,58.016,63.592,67.507,71.112,74.099,76.233
Sudan,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.003,0.004,0.007,0.017,0.033,0.068,0.17,0.243,0.302,0.352,0.397,0.421,0.46,0.495,0.566,0.647,0.676,0.759,0.811,0.821,0.995,1.231,1.639,2.207,2.621,2.968,3.373,4.619,7.094,10.654,27.822,76.914,155.211,317.543,442.857,531.513,573.037,606.812
Suriname,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.008,0.045,0.151,0.15,0.148,0.172,0.292,0.47,0.621,0.802,0.963,1.062,1.174,1.271,1.317,1.493,1.579,1.673,1.866,1.924,1.845,1.811,1.82,2.429,2.578,2.661,2.729,3.907,5.701,7.289,8.602,9.442,10.11,10.693,11.011
Sweden,6.778,6.473,6.581,6.959,7.236,7.459,7.768,7.944,8.187,8.498,8.953,9.371,9.267,9.266,9.307,9.463,9.387,9.368,9.339,9.292,9.223,9.244,9.243,9.218,9.007,8.793,8.68,8.69,8.803,8.953,8.931,8.844,8.655,8.598,8.727,8.852,8.823,8.719,8.72,8.785,8.833,8.732,8.639,8.605,8.541,8.528,8.531,8.532
Switzerland,1.799,1.735,1.753,1.729,1.732,1.717,1.735,1.728,1.717,1.709,1.724,1.757,1.754,1.753,1.738,1.715,1.689,1.652,1.63,1.608,1.594,1.574,1.546,1.534,1.498,1.467,1.453,1.449,1.442,1.439,1.426,1.397,1.354,1.312,1.282,1.235,1.202,1.18,1.161,1.139,1.12,1.091,1.046,1.029,1.015,1.006,0.998,0.989
Syria,2.71,2.928,2.811,2.837,3.01,3.004,3.713,4.573,5.709,6.566,7.367,7.473,7.695,7.792,8.842,9.268,10.695,11.472,11.394,12.018,13.284,13.364,13.754,13.227,14.212,15.426,16.326,17.608,20.033,19.351,20.474,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,0.021,0.024,0.022,0.022,0.024,0.023,0.029,0.041,0.052,0.07,0.096,0.117,0.16,0.273,0.466,0.685,1.341,1.833,2.103,2.238,2.406,2.377,2.62,2.966,3.223,3.726,4.161,4.629,5.925,6.333,7.038,7.431,8.652,8.767,8.624,9.186,9.739,10.055,10.076,10.589,11.045,10.935,10.872,10.968,11.025,11.152,11.391,11.689
Taiwan Province of China,24.722,24.999,24.127,23.839,23.305,22.596,23.236,22.684,21.926,21.643,21.933,21.955,22.155,22.395,22.302,22.362,22.474,22.58,23.055,22.297,21.604,20.995,20.589,19.906,19.241,18.375,17.603,17.051,16.288,16.205,15.807,15.151,15.081,15.042,15.25,15.476,15.776,15.73,15.272,14.981,14.995,15.137,14.5,14.062,13.773,13.754,13.787,13.843
Tajikistan,,,,,,,,,,,,,0,0.001,0.003,0.012,0.06,0.119,0.181,0.226,0.274,0.338,0.406,0.513,0.585,0.622,0.726,0.904,1.132,1.268,1.409,1.565,1.67,1.649,1.651,1.914,2.03,2.231,2.233,2.274,2.284,2.293,2.356,2.451,2.533,2.628,2.719,2.813
Tanzania,8.534,9.275,10.503,11.413,12.555,14.842,17.999,22.421,31.886,36.991,43.661,54.106,66.324,80.637,103.559,128.679,150.77,178.925,227.685,246.142,258.914,266.644,281.191,299.049,311.683,321.626,363.389,374.828,426.393,462.923,499.72,546.073,649.705,706.309,759.031,803.812,848.68,885.083,878.093,874.448,875.261,875.547,864.032,888.102,909.909,934.839,962.473,989.418
Thailand,9.165,9.074,8.978,8.955,8.768,8.684,8.654,8.844,9.048,9.239,9.414,9.588,9.752,9.744,9.986,10.343,10.573,10.853,11.598,11.142,11.04,11.004,11.018,11.037,11.132,11.344,11.566,11.54,11.904,11.851,12.188,12.387,12.25,12.301,12.488,12.641,12.731,12.845,12.724,12.625,12.324,12.041,11.574,11.355,11.536,11.552,11.562,11.404
Timor-Leste,,,,,,,,,,,,,,,,,,,,,0.332,0.363,0.377,0.395,0.344,0.34,0.337,0.356,0.375,0.379,0.416,0.455,0.437,0.487,0.453,0.458,0.432,0.409,0.394,0.419,0.346,0.434,0.42,0.423,0.429,0.437,0.446,0.455
Togo,155.27,156.852,156.408,175.36,168.323,169.587,173.87,177.301,171.535,166.648,155.938,155.374,154.434,146.926,191.923,186.425,213.298,234.725,227.274,228.619,221.455,220.12,227.64,216.771,207.075,212.595,205.187,209.735,230.035,232.187,230.879,228.625,237.899,240.651,238.234,241.552,243.553,239.722,237.278,236.7,236.868,231.546,223.829,221.478,219.894,218.79,217.787,216.752
Tonga,0.936,0.825,0.778,0.781,0.567,0.611,0.653,0.716,0.767,0.79,0.791,0.847,0.925,0.971,0.96,0.894,0.904,0.888,0.902,0.949,0.954,0.98,1.038,1.134,1.196,1.252,1.437,1.462,1.499,1.564,1.665,1.639,1.676,1.608,1.579,1.646,1.679,1.74,1.787,1.891,1.8,1.753,1.751,1.772,1.778,1.783,1.797,1.808
Trinidad and Tobago,2.012,1.971,2.082,2.13,2.18,2.139,2.071,2.119,2.132,2.198,2.447,2.405,2.188,2.28,2.58,2.632,2.633,2.496,2.423,2.492,2.73,2.752,2.588,2.814,3.002,3.3,3.231,3.568,4.329,3.147,3.496,3.95,4.097,4.317,4.375,4.24,4.107,4.162,4.202,4.137,3.95,3.834,4.054,3.776,3.598,3.546,3.503,3.477
Tunisia,0.268,0.273,0.298,0.325,0.334,0.336,0.341,0.35,0.364,0.377,0.401,0.414,0.428,0.435,0.443,0.455,0.466,0.48,0.49,0.499,0.506,0.514,0.518,0.522,0.525,0.53,0.534,0.531,0.554,0.567,0.582,0.596,0.635,0.671,0.7,0.742,0.767,0.794,0.838,0.88,0.935,0.946,0.953,,,,,
Turkey,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.003,0.005,0.011,0.02,0.036,0.063,0.11,0.168,0.245,0.366,0.496,0.6,0.657,0.682,0.724,0.748,0.823,0.862,0.911,0.966,1.02,1.07,1.105,1.162,1.241,1.373,1.562,1.747,1.982,2.431,3.529,4.794,5.685,6.438,7.225,8.181
Turkmenistan,,,,,,,,,,,,,0,0,0.002,0.017,0.217,0.345,0.403,0.489,0.525,0.589,0.628,0.691,0.729,0.756,0.824,0.876,1.373,1.497,1.296,1.426,1.578,1.634,1.682,1.645,1.613,1.623,1.65,1.825,1.866,2.036,2.278,2.391,2.474,2.59,2.721,2.863
Tuvalu,,,,,,,,,,,,,,,,,,,,,1.108,1.147,1.168,1.18,1.207,1.169,1.207,1.163,1.182,1.18,1.183,1.173,1.158,1.172,1.208,1.248,1.339,1.352,1.417,1.48,1.479,1.459,1.438,1.445,1.46,1.484,1.503,1.52
Uganda,0.379,0.54,0.761,1.027,2.009,4.075,8.425,23.157,64.838,134.376,186.958,213.419,284.799,325.069,350.58,372.648,382.518,405.625,423.956,431.745,455.215,441.42,447.003,467.121,488.373,490.747,516.84,545.089,618.941,722.193,729.035,856.168,1003.277,1042.081,1073.747,1125.471,1211.94,1270.608,1308.593,1314.949,1331.135,1305.179,1283.729,1308.846,1345.654,1385.527,1427.003,1471.413
Ukraine,,,,,,,,,,,,,0,0.005,0.054,0.275,0.448,0.52,0.576,0.724,0.871,0.906,0.939,0.996,1.119,1.346,1.499,1.793,2.271,2.54,2.853,3.192,3.297,3.013,3.435,4.566,5.014,5.916,6.664,7.087,7.672,9.213,,,,,,
United Arab Emirates,1.665,1.553,1.465,1.364,1.249,1.219,1.173,1.194,1.204,1.155,1.162,1.116,1.109,1.11,1.088,1.107,1.152,1.119,1.058,1.136,1.239,1.19,1.215,1.24,1.311,1.48,1.608,1.761,2.048,1.726,1.918,2.127,2.178,2.213,2.183,2.188,2.19,2.222,2.348,2.204,1.996,2.141,2.363,2.232,2.146,2.093,2.058,2.032
United Kingdom,0.507,0.521,0.53,0.538,0.546,0.558,0.572,0.588,0.603,0.627,0.654,0.675,0.682,0.685,0.681,0.684,0.7,0.686,0.689,0.688,0.684,0.682,0.685,0.69,0.69,0.69,0.688,0.689,0.697,0.705,0.706,0.706,0.702,0.695,0.698,0.692,0.689,0.682,0.68,0.681,0.707,0.681,0.672,0.685,0.686,0.687,0.688,0.688
United States,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uruguay,0.008,0.01,0.011,0.014,0.022,0.037,0.061,0.103,0.161,0.273,0.589,1.144,1.785,2.578,3.507,4.845,6.016,7.016,7.797,8.021,8.121,8.325,9.232,10.55,11.313,11.043,11.413,12.159,12.887,13.797,14.302,15.274,16.938,18.173,19.473,21.105,22.454,23.294,24.366,25.978,28.5,30.091,30.622,30.819,31.165,31.608,31.972,32.344
Uzbekistan,,,,,,,,,,,,0.001,0.011,0.125,1.642,7.575,13.505,22.05,30.307,43.071,62.055,88.113,126.19,156.818,177.221,208.56,245.359,296.231,357.106,426.472,505.24,601.998,706.905,804.31,935.237,1058.678,1179.957,1432.907,1777.095,2058.547,2270.919,2475.938,2599.196,2852.522,3077.782,3206.791,3319.481,3436.868
Vanuatu,76.235,80.564,82.018,81.138,87.84,82.211,78.191,88.874,94.254,96.549,92.161,98.301,98.788,98.492,98.662,98.31,98.555,99.962,103.39,105.092,105.003,106.412,107.791,106.549,105.96,103.169,103.957,107.069,112.581,114.722,115.028,115.827,113.173,114.57,114.032,119.523,120.203,124.292,125.285,127.119,127.866,126.659,125.095,125.258,125.817,126.888,128.072,129.245
Vietnam,0.249,0.302,0.568,0.817,1.3,2.416,13.904,56.534,222.433,500.155,685.407,1145.597,1484.806,1702.939,1950.07,2235.493,2386.214,2500.536,2691.221,2806.024,2837.393,2828.94,2895.73,3029.046,3476.777,3676.108,3871.644,4132.808,4974.458,5250.005,5814.022,6915.335,7167.057,7369.895,7473.419,7413.456,7315.613,7395.338,7469.454,7474.995,7505.038,7406.023,7236.867,7384.029,7586.604,7807.892,8012.479,8181.632
West Bank and Gaza,,,,,,,,,,,,,,,1.724,1.82,1.944,1.986,2.047,2.133,2.268,2.342,2.636,2.432,2.218,2.154,2.187,2.057,2.063,2.288,2.433,2.405,2.36,2.337,2.177,2.136,2.149,2.036,1.977,2.003,1.953,1.9,1.839,1.829,1.828,1.832,1.838,1.838
Yemen,,,,,,,,,,,6.115,6.624,7.33,8.332,9.854,14.066,18.892,21.04,19.07,25.098,30.271,30.418,32.561,35.408,39.349,45.224,49.832,53.803,63.549,57.647,70.415,81.477,88.793,93.631,98.497,142.845,141.618,164.766,184.825,194.96,233.778,373.026,565.707,723.885,844.584,937.603,1017.355,1096.917
Zambia,0,0,0,0,0.001,0.001,0.001,0.002,0.003,0.005,0.01,0.018,0.045,0.114,0.195,0.249,0.305,0.375,0.434,0.505,0.654,0.802,0.943,1.088,1.268,1.434,1.594,1.753,1.903,1.996,2.247,2.446,2.651,2.833,3.065,3.366,3.879,4.193,4.398,4.651,5.227,6.016,6.32,6.774,7.092,7.414,7.774,8.08
Zimbabwe,,,,,,,,,,,,,,,,,,,0.422,0.409,0.402,0.392,0.399,0.417,0.428,0.429,0.388,0.374,0.378,0.504,0.518,0.52,0.549,0.558,0.549,0.539,0.541,0.641,1.032,5.482,36.236,79.481,150.092,210.626,264.7,305.195,328.421,336.8
