"GDP, current prices (Purchasing power parity; billions of international dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bangladesh,40.711,47.053,51.562,56.051,60.5,64.75,68.686,72.448,76.794,83.235,90.325,97.305,104.301,111.389,118.903,127.187,136.009,145.693,154.764,165.452,178.675,191.532,203.941,219.978,239.681,262.776,289.442,316.641,340.512,360.908,387.271,420.989,473.808,509.208,553.757,595.349,650.672,710.584,785.863,868.972,870.79,981.123,1113.6,1226.153,1347.053,1472.933,1606.992,1751.971
Barbados,1.513,1.625,1.641,1.714,1.839,1.918,2.057,2.163,2.317,2.495,2.503,2.486,2.398,2.475,2.578,2.685,2.843,3.029,3.178,3.233,3.453,3.448,3.529,3.677,3.829,4.105,4.472,4.694,4.817,4.602,4.551,4.614,4.344,4.36,4.322,4.426,4.559,4.519,4.6,4.622,4.036,4.262,5.037,5.443,5.744,6.014,6.273,6.516
Belarus,,,,,,,,,,,,,50.706,47.963,43.256,39.268,41.097,46.585,51.086,53.544,57.911,62.009,66.154,72.205,82.625,93.27,105.763,118.003,132.574,133.648,145.811,156.715,171.038,179.366,179.598,171.204,168.422,173.63,183.356,189.336,190.329,202.798,201.749,208.577,218.325,224.295,230.021,235.933
Belgium,106.129,115.845,123.735,128.982,136.933,143.596,149.157,156.372,169.533,182.293,195.048,205.341,213.235,216.189,227.933,238.262,245.83,259.555,267.626,281.012,298.059,308.126,318.27,327.921,348.748,368.037,389.074,414.282,424.115,418.207,435.357,451.933,469.721,487.344,503.621,521.018,550.622,575.834,600.316,624.189,595.959,659.677,715.658,747.135,776.097,801.078,826.955,853.472
Belize,0.206,0.226,0.222,0.245,0.282,0.287,0.314,0.393,0.451,0.541,0.624,0.719,0.824,0.896,0.917,0.942,0.973,1.025,1.075,1.186,1.371,1.472,1.572,1.752,1.883,1.985,2.139,2.223,2.328,2.35,2.457,2.548,2.472,2.502,2.555,2.631,2.677,2.683,2.804,2.91,2.452,2.803,3.148,3.353,3.504,3.648,3.794,3.946
Benin,3.581,3.996,4.314,4.393,4.57,4.919,5.156,5.174,5.54,5.593,6.323,6.813,7.174,7.773,8.099,8.769,9.316,10.02,10.534,11.148,12.068,12.998,13.814,14.572,15.626,16.392,17.564,19.118,20.439,21.047,21.751,22.86,24.309,26.709,29.147,30.531,32.668,34.023,37.169,40.431,42.493,47.17,53.108,58.066,63.069,68.234,73.776,79.775
Bhutan,0.194,0.241,0.277,0.309,0.345,0.371,0.409,0.503,0.6,0.662,0.749,0.812,0.848,0.896,0.936,1.013,1.093,1.173,1.258,1.366,1.494,1.635,1.818,2.027,2.224,2.447,2.703,3.133,3.543,3.772,4.18,4.688,5.194,5.462,5.871,6.591,7.27,7.934,8.435,8.965,8.857,8.881,9.853,10.605,11.589,12.557,13.559,14.625
Bolivia,10.681,11.727,11.961,11.927,12.333,12.509,12.433,13.054,13.908,15.001,16.284,17.721,18.423,19.665,21.023,22.468,23.877,25.492,27.075,27.574,28.906,30.055,31.282,32.764,35.048,37.745,40.776,43.79,47.373,49.278,51.928,55.765,61.453,69.841,75.554,77.543,82.736,94.285,100.615,104.685,96.689,106.857,117.877,125.908,133.652,141.165,148.836,156.951
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,11.394,14.239,16.389,18.406,19.659,20.577,21.954,23.251,25.369,27.273,29.714,32.342,34.806,34.743,35.431,36.495,37.104,38.975,39.732,41.195,44.253,46.394,49.279,51.581,50.574,55.731,60.679,63.907,67.445,70.892,74.455,78.211
Botswana,2.092,2.476,3.047,3.508,3.871,4.301,4.765,5.61,7.168,7.797,8.8,9.665,9.864,10.505,10.645,11.787,12.298,13.399,13.33,14.604,15.573,16.298,17.782,19.11,19.898,21.542,23.547,25.584,26.922,23.263,25.925,28.274,26.808,29.053,32.411,30.937,35.938,35.203,37.554,39.385,36.382,42.636,47.262,50.739,54.048,57.338,60.809,64.487
Brazil,570.51,597.009,637.674,640.115,698.418,777.425,852.913,905.479,939.886,1007.999,1002.131,1046.71,1065.567,1141.707,1228.298,1309.441,1362.871,1433.434,1454.471,1481.867,1581.938,1640.061,1716.479,1770.328,1922.557,2046.341,2193.06,2389.039,2558.893,2572.051,2798.926,2970.631,2998.535,3133.894,3187.155,3014.754,2939.094,3018.706,3145.949,3241.32,3153.142,3435.897,3680.942,3844.36,4025.385,4190.641,4359.224,4536.43
Brunei Darussalam,,,,,,13.137,13.03,13.394,13.816,14.674,15.389,16.41,17.583,18.054,19.02,20.288,21.255,21.302,21.422,22.387,23.547,24.738,26.097,27.384,28.261,29.261,31.4,31.035,30.396,30.009,31.203,33.044,35.21,33.885,33.344,25.949,23.633,25.891,26.523,28.042,28.696,29.687,33.389,35.286,36.924,38.465,40.042,41.699
Bulgaria,47.172,54.372,60.156,64.387,69.78,73.282,78.719,84.458,89.534,92.58,87.305,80.55,75.444,68.253,67.156,67.467,63.176,55.194,57.931,53.814,57.558,61.105,65.702,70.507,77.113,85.144,93.742,102.621,110.985,108.042,111.027,115.715,119.29,120.943,127.263,132.052,143.072,152.4,160.23,169.682,164.192,178.161,195.399,210.322,224.551,236.028,247.411,259.487
Burkina Faso,2.564,2.881,3.102,3.184,3.352,3.849,4.239,4.333,4.746,5.038,5.195,5.858,6.006,6.361,6.582,7.104,8.031,8.686,9.425,10.259,10.69,11.653,12.35,13.577,14.565,16.323,17.879,19.117,20.614,21.361,23.443,25.515,26.835,28.735,29.761,31.033,35.34,39.238,42.88,46.135,47.592,52.999,58.985,63.771,68.786,73.888,79.369,85.238
Burundi,1.283,1.576,1.655,1.784,1.851,2.135,2.249,2.431,2.643,2.784,2.988,3.268,3.376,3.24,3.183,2.992,2.803,2.863,3.033,3.112,3.239,3.367,3.5,3.657,3.897,4.195,4.558,4.843,5.176,5.408,5.753,6.109,6.386,7.069,7.649,8.551,8.358,8.375,8.714,9.033,9.172,9.787,10.779,11.609,12.477,13.391,14.311,15.255
Cabo Verde,0.226,0.268,0.293,0.333,0.359,0.402,0.422,0.451,0.495,0.543,0.568,0.595,0.627,0.689,0.752,0.826,0.897,0.982,1.077,1.222,1.34,1.454,1.555,1.705,1.837,2.004,2.255,2.529,2.749,2.731,2.805,2.977,2.94,2.964,2.979,3.146,3.358,3.571,3.822,4.111,3.545,3.947,4.413,4.807,5.206,5.605,6.001,6.395
Cambodia,,,,,,,,4.241,4.813,5.168,5.422,6.03,6.604,7.034,7.772,8.409,9.068,9.594,10.156,11.608,13.007,14.439,15.629,17.293,19.593,22.885,26.133,29.58,32.164,32.398,34.743,37.972,42.401,45.764,48.654,52.598,57.942,62.891,69.203,75.41,73.93,78.658,87.856,95.822,104.171,113.053,122.774,133.35
Cameroon,11.122,14.25,16.275,18.07,20.121,22.44,24.446,24.511,23.38,23.867,23.235,23.116,22.922,22.724,22.63,23.868,25.499,27.317,28.977,30.579,32.324,34.161,36.375,38.946,42.615,44.486,47.475,50.757,53.209,54.953,57.245,60.471,63.568,69.099,75.135,79.113,84.393,90.038,95.853,100.963,102.725,110.79,122.764,132.693,142.811,153.164,164.201,176.108
Canada,288.709,327.094,336.235,358.492,393.376,425.039,442.898,472.338,510.559,542.874,564.117,571.03,589.301,619.32,660.978,693.018,717.134,760.722,799.257,852.366,916.809,954.244,998.365,1036.411,1097.084,1167.744,1235.488,1295.165,1333.258,1302.543,1358.93,1430.807,1468.095,1554.123,1621.397,1594.899,1678.387,1776.855,1869.824,1939.047,1859.721,2025.395,2236.928,2367.516,2467.907,2560.535,2653.901,2750.727
Central African Republic,1.006,1.243,1.273,1.243,1.416,1.515,1.657,1.698,1.788,1.928,2.028,2.079,2.022,2.045,2.351,2.477,2.367,2.506,2.619,2.733,2.695,2.827,2.932,2.922,2.998,3.182,3.436,3.672,3.84,3.973,4.207,4.475,4.889,3.285,3.216,3.536,3.862,4.195,4.46,4.674,4.776,5.023,5.528,5.906,6.295,6.683,7.09,7.568
Chad,1.858,1.814,2.029,2.439,2.66,2.96,3.2,3.399,3.784,4.009,4.293,4.9,5.131,5.144,5.542,5.615,5.838,6.275,6.787,6.835,6.929,7.911,8.716,10.196,13.991,15.629,16.216,17.199,18.066,18.934,21.767,22.246,22.192,20.808,23.012,25.683,24.494,24.028,25.182,26.508,26.249,27.034,29.684,31.64,33.526,35.404,37.391,39.471
Chile,38.682,44.972,41.263,41.677,45.723,48.097,51.811,56.587,62.851,72.243,77.698,86.566,98.396,107.471,115.328,128.197,139.539,152.472,160.905,162.428,174.971,184.82,193.512,205.403,226.108,246.588,270.253,291.188,307.357,304.42,326.038,353.197,377.407,392.675,402.863,405.277,411.578,435.804,463.973,476.266,452.784,526.732,568.319,588.222,612.684,639.157,667.84,697.841
"China, People's Republic of",302.76,348.305,403.112,464.138,553.986,648.661,718.609,822.54,946.918,1025.381,1105.115,1248.742,1459.551,1701.521,1964.285,2225.45,2491.03,2768.307,3019.394,3297.109,3657.469,4050.989,4489.109,5036.463,5694.74,6542.261,7601.315,8918.947,9961.922,10972.761,12282.959,13735.671,15137.455,16277.355,17200.686,17880.337,18701.703,19814.058,21656.955,23356.237,24168.026,27206.271,30177.926,32661.126,35167.666,37671.714,40303.626,43069.901
Colombia,78.513,87.898,94.215,99.445,106.487,113.267,122.277,132.029,142.24,152.864,165.375,175.024,186.805,202.152,217.098,233.181,242.333,254.967,259.306,251.905,265.147,275.67,286.976,304.107,328.924,355.205,390.76,428.362,450.911,458.973,485.368,529.875,553.768,591.784,625.019,630.4,672.094,700.091,735.197,772.197,726.422,836.534,940.589,1004.126,1064.236,1122.544,1184.061,1249.162
Comoros,0.322,0.372,0.411,0.44,0.475,0.504,0.525,0.55,0.598,0.617,0.687,0.666,0.732,0.768,0.753,0.812,0.823,0.874,0.884,0.921,0.932,1.005,1.068,1.111,1.176,1.282,1.298,1.343,1.423,1.479,1.553,1.651,1.818,1.955,2.063,2.107,2.278,2.468,2.619,2.712,2.736,2.913,3.206,3.423,3.644,3.878,4.128,4.393
