"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bangladesh,283.284,273.372,249.371,235.351,257.242,269.294,269.762,287.665,301.593,320.657,337.603,341.254,340.031,335.752,349.359,381.778,399.703,407.248,416.99,424.225,425.728,418.961,420.891,445.932,479.362,499.591,509.61,558.087,634.979,702.264,781.154,861.759,883.105,981.84,1118.854,1248.453,1401.621,1563.914,1698.352,1855.741,1961.614,2147.274,2361.984,2587.684,2813.907,3055.919,3314.594,3587.23
Barbados,4036.509,4427.056,4611.693,4882.788,5308.313,5539.558,6062.784,6653.718,7052.007,7776.714,7772.174,7777.866,7464.866,7886.782,8194.382,8414.115,8938.565,9412.367,10573.109,11039.097,11337.027,11284.369,11442.562,11788.654,12612.206,13939.669,15334.01,16925.611,17254.227,16036.404,16203.257,16599.012,16371.952,16556.104,16572.311,16589.45,16947.632,17423.251,17758.083,18448.826,16245.057,16875.092,19110.462,20426.463,21435.104,22367.719,23282.643,24169.147
Belarus,,,,,,,,,,,,,1252.792,1114.104,1533.721,1034.931,1429.059,1396.112,1514.669,1210.965,1079.61,1283.273,1524.49,1873.667,2450.9,3221.463,3968.753,4887.275,6581.175,5345.325,6025.686,6478.889,6948.345,7995.733,8337.145,5958.838,5037.854,5778.564,6351.76,6831.516,6515.654,7295.015,6384.266,6502.12,6825.464,7073.47,7292.388,7534.694
Belgium,12529.348,10366.108,9128.584,8626.16,8244.846,8568.653,11873.806,14740.456,16008.638,16098.158,20119.935,20563.729,22823.029,21723.624,23624.467,28458.469,27535.287,24878.749,25399.222,25309.057,23136.511,23067.163,25044.331,30707.665,35497.552,36945.499,38841.785,44496.791,48493.137,44892.228,44448.17,47564.381,44824.163,46848.612,47897.037,41147.261,42076.398,44274.073,47683.067,46732.672,45254.723,51875.037,52484.57,54822.896,56996.152,59050.479,61112.381,63051.08
Belize,1148.322,1193.866,1171.019,1200.888,1304.507,1258.896,1332.848,1518.912,1759.542,1977.229,2180.352,2292.375,2605.828,2732.709,2754.832,2865.693,2890.36,2846.013,2889.476,3014.677,3331.421,3403.467,3549.928,3677.821,3826.796,3919.076,4161.021,4294.334,4408.57,4191.307,4304.271,4417.021,4493.579,4523.163,4671.075,4708.963,4754.283,4756.508,4740.303,4762.191,3781.346,4176.521,4519.823,4742.407,4848.067,4945.028,5043.928,5144.806
Benin,633.149,413.923,397.573,340.867,352.496,370.342,462.435,535.192,544.339,491.148,580.415,573.657,615.86,579.434,389.725,506.864,533.491,497.342,519.56,552.369,512.9,518.071,574.524,711.107,798.382,823.24,856.1,966.318,1125.303,1087.576,1037.381,1130.074,1145.865,1251.228,1291.743,1076.906,1086.987,1136.193,1240.838,1218.278,1290.5,1397.826,1432.302,1517.567,1609.733,1711.012,1815.078,1919.732
Bhutan,301.912,317.384,325.479,343.169,346.705,349.039,382.259,447.284,496.565,483.64,514.626,446.274,442.838,470.84,484.426,569.737,594.213,654.919,701.797,716.174,758.308,767.831,813.421,950.504,1059.205,1215.288,1278.66,1548.106,1936.306,1797.535,2097.54,2511.435,2592.37,2609.758,2546.857,2767.781,2857.443,3137.633,3413.308,3322.527,3241.239,3184.785,3491.268,3755.358,4103.418,4441.787,4780.059,5127.992
Bolivia,695.535,615.66,668.55,619.896,631.152,668.921,640.94,683.625,712.146,715.525,723.431,776.711,803.547,793.646,805.183,886.368,956.965,1006.102,1057.72,1010.58,994.617,949.383,904.851,908.203,968.545,1037.176,1226.845,1383.894,1729.369,1769.441,1972.684,2368.523,2635.933,2938.421,3114.966,3069.319,3110.874,3388.523,3588.089,3591.403,3172.556,3369.143,3430.765,3573.861,3782.135,3999.361,4217.289,4447.093
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,952.331,1225.456,1415.096,1540.514,1480.624,1540.266,1785.289,2254.449,2699.054,2903.602,3306.785,4073.011,4984.537,4711.119,4633.861,5089.853,4773.164,5141.572,5252.939,4607.669,4816.264,5159.992,5773.366,5787.063,5721.463,6440.382,6725.58,7208.426,7719.539,8246.946,8776.7,9415.253
Botswana,1281.65,1110.876,1130.197,1204.322,1153.418,1035.551,1354.241,2046.746,2563.555,2761.856,2939.88,2857.355,2868.706,2810.534,2945.134,3241.828,3245.043,3228,3033.182,3350.85,3457.838,3260.578,3165.091,4306.454,4994.989,5465.344,5402.854,5633.943,5601.705,5179.67,6359.637,7497.568,6818.885,6919.46,7406.85,6380.274,6982.945,7303.674,7556.094,7247.454,6348.809,7416.674,7519.206,7923.964,8353.52,8772.485,9284.593,9765.42
