"Current account balance, percent of GDP (Percent of GDP)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Belarus,,,,,,,,,,,,,1.7,-3.8,-2.8,-4.4,-3.6,-6.1,-6.7,-1.6,-4.3,-4.1,-2.2,-2.5,-5,1.5,-3.6,-6.4,-7.9,-12.1,-14.5,-8.2,-2.8,-10,-6.6,-3.3,-3.4,-1.7,0,-1.9,-0.4,2.7,-1.2,-1,-1.2,-1,-1,-0.9
Belgium,-4,-4.1,-2.9,-0.6,-0.1,0.8,2.6,1.9,2.3,2.3,1.8,2.3,2.9,5.1,5.3,5.3,5,5.5,5.1,7.8,4,3.3,4.5,3.4,3.1,2,1.9,1.5,-1,1.7,1.6,-1.9,-0.1,1,0.8,1.4,0.6,0.7,-0.8,0.2,0.8,0.9,0.5,0.9,1.2,1.3,1.5,1.7
Belize,-2.1,-2.6,-9.7,-6.6,-2.5,4.3,5.2,3.5,-0.8,-5.2,3.7,-5.8,-5.5,-8.7,-6.9,-2.8,-1,-4.9,-6,-8.5,-19.4,-21.8,-17.7,-18.6,-14.6,-13.6,-2.1,-4.1,-10.7,-6.3,-3.3,-1.4,-2.2,-4.6,-8.1,-10.1,-9.1,-8.6,-8,-9.5,-8.1,-8.9,-9.3,-8.9,-8.5,-8.1,-7.9,-7.7
Benin,-4.7,-16.9,-20.9,-11.7,-3.7,-2.6,-2.7,-1.5,-4.5,-0.6,-0.7,-8,-2.4,-1.9,0.5,-5.6,-1.3,-5,-3.9,-4.2,-2.3,-2,-3.7,-6.2,-4.7,-3.4,-3.1,-6.5,-5.5,-6.7,-5.6,-4.8,-5.2,-5.4,-6.7,-6,-3,-4.2,-4.6,-4,-1.7,-4.5,-5.8,-5.5,-5.2,-4.7,-4.3,-4
Bhutan,11.8,3.6,-50.8,-52.1,-60.1,-48.1,-50.7,-37.4,-22.3,-27.9,-10.2,-10.5,-30.4,-16.5,-13.9,15.8,15.1,5.4,10.5,2.3,-9.4,-8.9,-16.8,-24.1,-18.7,-31,-4.7,8.4,-8.8,-6.4,-22.8,-30.5,-21.9,-25.6,-27.1,-27.9,-30.2,-23.6,-18.4,-20.5,-12.4,-11.8,-10.6,-9.7,-5.6,-1.4,-0.9,0.2
Bolivia,-0.2,-8.1,-3.4,-2.8,-2,-7.3,-7.6,-9.3,-2.9,0.7,-4,-4.8,-7.2,-7.3,-4,-5,-4.5,-7,-7.9,-5.9,-5.3,-3.4,-4.4,1,3.7,6.5,11.4,12,11.9,4.7,4.4,2.2,7.2,3.4,1.7,-5.8,-5.6,-5,-4.3,-3.3,-0.4,0.5,-1.5,-2,-2.6,-3.2,-3.6,-4
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,-6.5,-8.7,-7.1,-12.8,-17.7,-19.2,-16.1,-16.9,-8,-9.5,-14.1,-6.4,-6,-9.5,-8.6,-5.3,-7.4,-5.1,-4.8,-4.8,-3.3,-2.8,-3.8,-2.4,-5,-3.9,-3.6,-3.6,-3.6,-3.5
Botswana,-12.9,-29.3,-13.2,-6.5,-4.9,7.3,7.2,26.5,6.3,14.3,-0.5,8,5,10.8,5.2,6.2,10,14.4,3.5,10.8,9.6,10.9,4.9,9.6,3.6,16.2,19.7,15.7,1.4,-6.4,-5.9,-0.9,-5.9,4.5,11.1,2.2,8,5.6,0.4,-7,-10.8,-0.5,0.5,2.8,3.4,3.4,3.4,3.3
Brazil,-8.8,-7,-9.1,-4.8,0,-0.1,-2.1,-0.5,1.3,0.2,-0.8,-0.4,1.6,-0.1,-0.3,-2.4,-2.8,-3.5,-3.9,-4.3,-3.8,-4.2,-1.6,0.6,1.7,1.6,1.2,0,-1.8,-1.6,-3.6,-2.9,-3.4,-3.2,-4.1,-3,-1.4,-1.1,-2.7,-3.5,-1.7,-1.7,-1.5,-1.6,-1.8,-1.9,-2,-2.1
Brunei Darussalam,,,,,,71.5,74,73.2,76.3,65.2,60.5,60.2,39.1,27,35.1,22,23.9,21.1,16.8,30.4,45.1,42,36.3,40,38.2,42.7,45.5,43.6,43.7,32.2,36.6,34.7,29.8,20.9,31.9,16.7,12.9,16.4,6.9,6.6,4.5,5.6,18.2,15,14.7,13.9,13.2,13
