"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Germany,853.705,718.264,693.547,691.912,651.9,661.037,944.124,1174.861,1266.623,1257.393,1598.64,1875.618,2136.312,2072.457,2209.934,2588.002,2498.113,2214.694,2242.065,2197.125,1948.843,1945.804,2077.016,2501.014,2813.076,2848.438,2994.862,3425.982,3744.854,3407.557,3402.444,3748.655,3529.377,3733.859,3890.095,3357.926,3468.896,3689.547,3979.093,3888.756,3843.335,4225.924,4256.54,4564.778,4786.673,4985.445,5177.005,5361.149
Ghana,37.349,60.693,70.405,47.316,17.112,15.254,14.072,11.776,12.523,12.733,14.749,16.506,16.312,13.348,12.32,14.61,15.482,15.794,17.165,17.765,11.47,12.234,14.205,17.528,20.302,24.6,28.882,34.044,38.658,34.601,43.326,53.849,56.853,63.703,54.285,49.437,56.144,60.385,67.259,68.353,68.498,76.359,73.894,78.893,83.994,89.37,94.751,103.536
Greece,56.529,52.161,54.415,49.184,47.922,47.532,55.945,65.129,75.803,78.582,97.137,104.742,115.484,108.103,115.694,135.786,144.642,142.117,143.424,148.151,131.082,135.16,153.152,200.613,238.823,245.92,271.254,316.25,352.866,328.156,297.368,282.946,242.183,238.911,235.519,195.703,193.095,199.773,212.146,205.166,188.684,216.384,222.77,234.808,246.349,256.972,267.074,275.323
Grenada,0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.126,1.167,1.213,1.043,1.115,1.192,1.275,1.35,1.425,1.502,1.579
Guatemala,7.718,8.431,8.539,8.864,9.276,10.951,5.921,6.857,7.426,8.561,7.493,9.161,10.15,11.032,12.501,14.04,14.993,16.981,18.441,17.391,18.124,19.735,21.924,23.092,24.977,28.179,31.308,35.028,40.242,37.997,41.493,47.419,49.902,52.989,57.835,62.18,66.034,71.624,73.212,77.004,77.603,85.715,91.019,95.988,103.009,110.249,118.005,126.298
Guinea,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.054,4.506,4.178,6.317,6.966,6.753,6.858,6.034,7.304,8.374,8.777,8.79,8.604,10.325,11.857,13.514,15.294,17.611,20.952,22.945,24.963,26.733,28.642,30.676
Guinea-Bissau,0.289,0.37,0.421,0.475,0.33,0.485,0.474,0.401,0.374,0.449,0.548,0.772,0.846,0.653,0.361,0.778,0.741,0.704,0.592,0.58,0.392,0.413,0.466,0.553,0.582,0.64,0.635,0.753,0.953,0.889,0.941,1.157,1.05,1.11,1.136,1.153,1.245,1.469,1.506,1.44,1.475,1.629,1.656,1.802,1.967,2.144,2.333,2.518
Guyana,0.842,0.808,0.692,0.703,0.654,0.697,0.789,0.728,0.828,0.832,0.685,0.744,0.823,1.003,1.176,1.332,1.495,1.587,1.5,1.488,1.497,1.504,1.555,1.592,1.657,1.712,1.899,2.225,2.491,2.596,2.889,3.328,4.063,4.168,4.128,4.28,4.483,4.748,4.788,5.174,5.471,7.612,13.543,16.377,16.347,16.82,17.653,18.529
Haiti,2.664,2.932,3.05,3.273,3.627,4.028,4.475,2.205,1.45,1.34,1.706,1.53,0.918,1.107,3.054,4.846,5,5.748,6.408,7.148,6.81,6.285,6.064,4.866,6.037,7.186,7.507,9.522,10.488,11.598,11.852,13.009,13.709,14.904,15.137,14.831,13.996,15.036,16.454,14.787,14.508,21.017,20.168,21.195,22.066,22.947,23.863,24.798
Honduras,3.508,3.855,3.97,4.207,4.538,4.976,5.207,5.678,6.324,7.065,4.169,4.195,4.675,4.794,4.693,5.415,5.217,5.736,6.366,6.417,7.187,7.651,7.858,8.23,8.869,9.757,10.917,12.361,13.882,14.587,15.839,17.71,18.529,18.5,19.757,20.98,21.718,23.136,24.068,25.09,23.828,28.221,30.116,31.661,33.356,35.356,37.555,39.845
Hong Kong SAR,28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.639,248.514,262.629,275.697,291.46,309.386,320.86,341.271,361.731,363.052,344.879,368.137,369.486,391.338,410.623,431.836,454.081,477.917
Hungary,23.042,23.629,24.064,21.839,21.174,21.441,24.698,27.144,29.703,30.323,34.366,34.754,38.731,40.125,43.167,46.426,46.659,47.297,48.707,49.073,47.218,53.75,67.609,85.302,103.96,112.981,115.577,139.966,158.136,130.76,131.917,141.76,128.475,135.412,140.765,125.074,128.636,143.136,160.587,163.517,155.808,184.577,197.813,219.463,238.317,256.299,272.8,288.707
Iceland,3.434,3.543,3.251,2.793,2.892,3.009,4.014,5.561,6.145,5.7,6.504,6.949,7.105,6.225,6.393,7.124,7.426,7.57,8.504,8.982,9.026,8.235,9.318,11.429,13.825,16.853,17.465,21.653,18.075,13.154,13.751,15.222,14.752,16.125,17.868,17.517,20.793,24.728,26.264,24.82,21.625,25.459,27.865,29.476,31.305,32.884,34.443,36.077
India,189.438,196.535,203.537,222.049,215.556,237.618,252.751,283.75,299.645,301.234,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.867,476.61,493.953,523.97,618.358,721.589,834.217,949.117,1238.7,1224.096,1365.373,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2294.797,2651.474,2702.93,2831.553,2667.686,3177.922,3534.743,3893.67,4270.765,4681.947,5100.7,5533.453
Indonesia,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.428,279.556,310.815,396.293,470.144,558.582,577.539,755.256,892.59,919.002,916.646,891.051,860.741,932.066,1015.488,1042.711,1120.05,1059.903,1186.067,1289.295,1410.748,1518.447,1628.938,1745.177,1868.036
Iran,95.846,101.481,125.8,156.927,161.721,180.541,208.928,277.019,311.932,379.427,581.008,304.065,50.472,64.449,79.818,114.941,158.032,184.138,205,275.092,366.917,330.978,132.682,158.416,188.961,228.428,272.361,360.928,425.699,440.408,517.899,625.43,421.882,428.321,460.809,408.288,458.042,486.829,513.417,655.791,938.052,1426.3,1739.012,1782.602,1856.639,1938.551,2025.344,2120.98
Iraq,,,,,,,,,,,,,,,,,,,10.469,18.449,25.857,18.936,18.97,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.634,167.716,192.343,226.87,233.953,169.488,209.507,297.341,299.409,301.919,307.272,316.618,329.582
Ireland,21.425,20.423,21.313,20.618,19.883,21.168,28.516,33.66,36.875,38.03,48.199,48.84,54.911,51.364,55.843,69.26,75.928,82.957,90.305,98.993,100.253,109.347,128.505,164.63,194.283,211.993,232.193,270.112,275.417,236.185,222.057,238.936,225.64,238.282,259.037,291.611,298.846,335.312,385.215,399.165,425.549,498.891,516.146,562.134,603.127,640.004,677.733,715.732
Israel,23.896,25.32,27.136,30.264,28.65,26.628,32.782,39.154,48.503,49.35,58.234,66.058,73.816,74.189,84.688,100.605,110.182,114.755,116,117.166,132.454,130.818,121.148,127.046,135.572,142.657,154.145,179.163,216.71,207.951,234.655,262.294,258.417,294.167,310.945,300.078,319.025,355.277,373.641,397.935,407.101,481.591,520.703,547.765,577.469,607.732,638.146,668.815
Italy,482.655,437.701,432.572,448.896,443.513,458.003,648.677,814.158,902.023,938.147,1170.839,1236.776,1312.397,1055.336,1088.506,1175.276,1312.784,1243.229,1271.702,1253.69,1147.184,1168.032,1275.867,1577.226,1805.723,1859.245,1949.655,2213.364,2408.391,2197.54,2137.844,2294.591,2088.28,2141.954,2162.566,1836.824,1876.553,1961.104,2092.882,2011.508,1891.057,2101.276,2058.33,2169.384,2273.319,2367.159,2454.912,2527.369
Jamaica,2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.44,5.453,6.549,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.213,13.865,14.154,14.108,14.755,15.648,15.808,13.967,15.141,15.721,16.208,16.835,17.724,18.48,19.255
Japan,1127.876,1243.79,1157.601,1268.62,1345.204,1427.354,2121.25,2584.339,3134.179,3117.068,3196.556,3657.348,3988.334,4544.766,4998.797,5545.567,4923.393,4492.449,4098.362,4635.981,4968.359,4374.71,4182.845,4519.563,4893.135,4831.466,4601.663,4579.749,5106.679,5289.494,5759.072,6233.147,6272.364,5212.328,4896.995,4444.931,5003.678,4930.837,5037.834,5123.318,5040.108,4937.422,4912.147,5291.351,5527.694,5820.001,6063.315,6259.824
Jordan,4.03,4.525,4.83,5.075,5.127,5.157,6.604,6.962,6.522,4.385,4.29,4.481,5.537,5.704,6.391,6.857,7.145,7.472,8.159,8.403,8.725,9.255,9.882,10.514,11.768,12.982,15.527,17.645,22.648,24.538,27.134,29.524,31.679,34.503,36.9,38.642,39.949,41.467,42.993,44.566,43.759,45.354,47.745,50.461,53.427,56.567,59.893,63.414
Kazakhstan,,,,,,,,,,,,,2.875,5.152,11.881,16.639,21.035,22.166,22.135,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,166.806,179.34,181.667,171.082,190.814,193.611,225.928,238.323,252.981,266.027,279.843
Kenya,20.52,19.327,18.608,17.209,17.856,17.77,21.104,23.136,23.988,23.781,24.746,23.368,23.014,15.989,19.143,24.267,27.562,27.921,30.486,27.901,26.48,26.363,27.934,30.523,30.964,35.709,41.758,50.433,48.255,42.348,45.406,46.554,56.407,61.703,68.395,70.369,74.817,81.964,92.211,100.504,101.279,109.797,114.679,119.127,126.7,135.963,145.877,155.155
Kiribati,0.042,0.044,0.041,0.038,0.042,0.032,0.031,0.036,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.156,0.181,0.19,0.185,0.178,0.171,0.179,0.188,0.196,0.178,0.182,0.207,0.216,0.233,0.246,0.257,0.268,0.28
"Korea, Republic of",65.368,72.934,78.349,87.761,97.511,101.296,116.836,147.949,199.593,246.929,283.365,330.658,355.516,392.731,463.432,566.595,610.164,570.594,382.855,497.254,576.483,547.743,626.989,702.696,792.532,934.708,1052.61,1172.465,1049.168,943.739,1143.568,1253.419,1278.046,1370.633,1484.489,1466.039,1499.362,1623.074,1725.373,1651.423,1638.258,1798.544,1804.68,1919.562,2014.925,2111.222,2205.319,2300.254
Kosovo,,,,,,,,,,,,,,,,,,,,,2.217,2.509,2.73,3.39,3.71,3.828,4.019,4.868,5.202,5.03,5.348,6.34,6.167,6.735,7.076,6.296,6.681,7.178,7.882,7.9,7.728,9.039,9.66,10.521,11.338,12.134,12.902,13.651
Kuwait,28.724,25.249,21.583,20.317,21.457,21.54,17.376,20.817,19.281,23.855,18.293,10.826,19.866,23.996,24.796,27.189,31.492,30.35,25.944,30.123,37.721,34.886,38.135,47.844,59.439,80.807,101.559,114.677,147.402,105.992,115.401,154.02,174.066,174.179,162.695,114.606,109.381,120.687,138.202,136.192,105.949,135.352,186.61,180.665,176.64,176.552,179.072,183.101
Kyrgyz Republic,,,,,,,,,,,,,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.271,8.872,7.792,8.538,9.017,9.511,9.978,10.667,11.374,12.037
Lao P.D.R.,1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.26,2.651,3.079,3.934,4.757,5.946,6.431,7.506,8.964,10.194,11.972,13.266,14.418,15.905,17.055,18.131,18.791,18.524,18.552,17.347,17.996,18.715,19.656,20.855,22.157
Latvia,,,,,,,,,,,,,1.694,2.728,4.533,5.411,5.975,6.529,7.169,7.535,7.963,8.363,9.564,11.777,14.44,17.03,21.589,31.1,36.023,26.48,23.998,27.74,28.191,30.21,31.395,27.266,28.076,30.473,34.445,34.313,33.619,38.965,40.266,43.128,46.762,50.105,53.393,56.685
Lebanon,4.02,3.843,2.621,3.611,4.269,3.566,2.78,3.254,3.269,2.682,2.801,4.392,5.472,7.435,8.988,10.971,12.824,15.535,17.059,17.174,17.018,17.361,18.837,19.486,21.16,21.497,22.023,24.827,29.119,35.4,38.444,39.927,44.036,46.909,48.133,50.066,51.389,53.325,55.276,51.222,27.32,,,,,,,
Lesotho,0.437,0.443,0.369,0.406,0.363,0.29,0.333,0.435,0.494,0.514,0.62,0.703,0.815,0.814,0.859,0.965,0.914,0.963,0.888,0.871,0.847,0.701,0.767,1.109,1.384,1.484,1.519,1.759,1.652,1.937,2.356,2.571,2.465,2.345,2.477,2.207,2.219,2.356,2.342,2.299,2.061,2.464,2.561,2.716,2.902,3.102,3.274,3.439
Liberia,,,,,,,,,,,,,,,,,,,,,0.863,0.904,0.943,0.714,0.897,0.944,1.109,1.344,1.676,1.765,1.966,2.34,2.675,3.044,3.09,3.092,3.256,3.321,3.264,3.08,3.037,3.483,3.829,4.064,4.23,4.542,4.881,5.273
Libya,38.941,33.641,33.541,31.963,29.93,29.44,23.987,22.294,25.067,26.594,30.644,33.908,34.358,30.921,28.796,32.69,35.683,36.531,29.96,35.975,38.271,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.216,18.563,30.211,41.432,39.497,19.21,32.352,48.773,45.195,43.618,42.975,43.003,42.999
Lithuania,,,,,,,,,,,,,,,,6.696,8.383,10.119,11.24,10.972,11.525,12.238,14.257,18.782,22.624,26.115,30.203,39.764,48.03,37.475,37.195,43.584,42.952,46.537,48.611,41.44,43.035,47.742,53.775,54.703,56.502,65.479,69.782,75.992,82.481,88.273,94.011,99.806
Luxembourg,6.434,5.549,4.557,4.473,4.385,4.544,6.611,8.211,9.301,9.903,12.628,13.683,15.328,15.714,17.487,20.571,20.464,18.428,19.263,21.088,21.24,21.388,23.633,29.66,35.049,37.693,42.912,51.593,58.838,54.408,56.26,61.685,59.814,65.204,68.823,60.078,62.2,65.689,71.317,70.203,73.294,86.768,86.898,91.773,98.022,103.455,109.037,114.598
Macao SAR,,,,,,,,,,,,,,,,,,,,,,6.86,7.372,8.247,10.643,12.16,14.874,18.44,21.027,21.588,28.242,36.844,43.19,51.536,54.903,45.048,45.071,50.441,55.285,55.205,25.586,29.905,35.246,44.856,54.828,61.784,66.422,70.342
Madagascar,5.202,4.759,4.785,4.686,3.906,3.803,4.348,3.213,3.189,3.176,3.931,3.255,3.715,4.063,3.522,3.838,4.932,4.263,4.402,4.278,4.629,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.76,14.105,13.056,14.184,14.616,15.189,16.472,17.789,19.196,20.695
Malawi,3.022,3.022,2.881,2.986,2.949,2.762,2.883,2.834,3.258,3.715,4.222,5.38,4.394,5.056,2.93,3.412,5.569,6.504,4.275,4.336,4.257,4.178,4.922,4.521,4.895,5.148,5.63,6.24,7.492,8.723,9.796,11.241,8.421,7.648,8.526,9.014,7.733,8.943,9.882,11.031,11.847,12.176,12.042,11.325,12.003,12.896,13.836,14.835
Malaysia,26.757,27.321,29.278,32.745,37.087,34.09,30.303,34.529,37.845,41.678,47.236,53.51,64.452,72.866,81.138,96.628,109.854,108.78,78.634,86.203,102.149,101.054,109.833,120.025,135.869,150.356,170.514,202.869,242.08,212.026,258.641,302.184,318.91,327.869,343.088,301.36,301.918,319.249,358.994,365.385,337.28,372.754,439.373,481.988,517.719,556.183,594.442,633.626
Maldives,0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.098,4.367,4.747,5.294,5.598,3.736,5.07,5.502,6.109,6.641,7.155,7.703,8.296
Mali,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.837,10.221,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.281,17.491,19.188,19.264,21.191,23.176,24.804,26.831,28.736
Malta,1.202,1.174,1.109,1.083,1.025,1.038,1.348,1.682,1.909,1.999,2.401,2.611,2.906,2.59,2.868,3.38,3.446,3.489,3.697,3.858,4.075,4.089,4.478,5.455,6.102,6.415,6.811,7.989,9.127,8.721,9.043,9.637,9.468,10.551,11.629,11.093,11.665,13.5,15.309,15.722,14.905,17.201,17.251,18.627,19.981,21.248,22.552,23.842
Marshall Islands,,,,,,,,,,,,,,,,,,0.111,0.114,0.115,0.115,0.122,0.132,0.131,0.133,0.137,0.142,0.148,0.152,0.15,0.16,0.172,0.181,0.185,0.182,0.184,0.201,0.212,0.222,0.236,0.244,0.248,0.267,0.284,0.298,0.311,0.322,0.334
Mauritania,,,,,,,,,,,1.793,2.055,2.164,1.847,1.945,2.092,2.132,2.072,2.027,1.986,1.78,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.826,7.351,7.889,8.11,9.13,9.28,9.705,10.93,11.618,12.085,13.554
Mauritius,1.225,1.163,1.116,1.182,1.094,1.107,1.495,1.893,2.196,2.256,2.706,2.977,3.352,3.455,3.835,4.38,4.529,4.253,4.296,4.536,4.869,4.817,5.055,6.073,6.869,6.775,7.029,8.15,9.99,9.129,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.259,14.182,14.046,10.921,11.078,11.263,12.538,13.905,15.03,16.013,16.831
Mexico,228.606,293.61,213.077,173.714,204.86,217.388,150.513,165.058,201.926,246.079,290.402,348.139,403.733,500.795,527.811,360.096,410.973,500.416,526.522,600.225,707.909,756.693,772.11,729.335,782.243,877.477,975.383,1052.697,1109.987,900.047,1057.801,1180.487,1201.094,1274.444,1315.356,1171.87,1078.493,1158.912,1222.406,1269.402,1087.117,1294.829,1322.74,1379.727,1444.727,1509.065,1576.361,1646.318
"Micronesia, Fed. States of",,,,,,,,,,,,,,,,0.221,0.218,0.207,0.219,0.22,0.233,0.241,0.242,0.245,0.24,0.25,0.253,0.257,0.263,0.28,0.297,0.311,0.327,0.317,0.319,0.316,0.332,0.367,0.402,0.416,0.412,0.407,0.427,0.452,0.474,0.491,0.506,0.52
Moldova,,,,,,,,,,,,,0.864,1.11,1.158,1.441,1.694,1.928,1.697,1.172,1.315,1.481,1.662,1.981,2.598,2.988,3.408,4.401,6.055,5.438,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.67,11.457,11.972,11.53,13.672,13.811,13.752,14.412,15.59,16.779,18.02
Mongolia,2.728,2.854,2.963,3.071,2.837,3.294,3.636,4.086,4.104,4.275,2.678,2.821,1.566,0.771,0.926,1.452,1.348,1.181,1.125,1.057,1.137,1.268,1.397,1.595,1.992,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.62,11.154,11.481,13.207,14.206,13.313,15.098,18.102,21.047,23.679,26.415,28.848,31.034
Montenegro,,,,,,,,,,,,,,,,,,,,,0.966,1.15,1.269,1.681,2.073,2.261,2.724,3.686,4.564,4.171,4.146,4.544,4.09,4.466,4.595,4.055,4.376,4.855,5.509,5.543,4.777,5.813,6.018,6.679,7.151,7.571,8.008,8.446
Morocco,21.998,17.86,18.028,16.296,14.904,15.043,19.864,21.911,25.947,26.706,30.18,32.286,33.712,31.656,35.605,39.029,43.162,39.147,41.806,41.632,38.859,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081,101.179,103.312,109.683,118.096,119.871,114.724,131.465,133.062,142.967,150.466,158.654,166.757,175.359
Mozambique,4.615,3.585,3.662,3.28,3.417,4.516,5.301,2.395,2.105,2.199,3.529,3.633,2.64,2.73,2.797,2.9,3.857,4.649,5.264,5.976,5.656,5.399,5.677,6.303,7.631,8.542,9.177,10.451,12.556,11.914,11.105,14.382,16.351,16.974,17.716,15.951,11.937,13.219,14.845,15.39,14.029,16.104,18.091,19.519,21.505,22.958,26.551,30.554
Myanmar,,,,,,,,,,,,,,,,,,,5.154,6.439,7.736,7.131,6.921,8.881,10.754,12.126,13.585,17.855,25.47,30.864,38.084,53.916,59,60.903,63.153,62.655,60.09,61.267,66.699,68.802,81.257,65.16,69.262,73.543,77.671,82.056,86.666,91.67
Namibia,,,,,,,,,,2.605,2.838,2.854,3.014,2.891,3.254,3.503,3.494,3.636,3.215,3.384,3.911,3.55,3.369,4.932,6.617,7.258,7.984,8.73,8.496,8.915,11.281,12.423,13.016,12.168,12.434,11.45,10.719,12.883,13.676,12.494,10.619,12.346,13.019,14.205,15.018,15.746,16.482,16.971
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.031,0.029,0.023,0.037,0.044,0.047,0.066,0.097,0.099,0.105,0.087,0.1,0.11,0.124,0.119,0.114,0.133,0.134,0.138,0.142,0.144,0.146,0.149
Nepal,2.263,2.647,2.675,2.927,3.096,3.215,3.499,3.629,4.279,4.326,4.452,4.872,4.426,4.754,4.965,5.391,5.557,6.04,6.006,6.177,6.551,6.734,6.832,7.234,8.315,9.351,10.339,11.803,14.342,14.696,18.293,21.733,21.703,22.161,22.722,24.361,24.524,28.972,33.112,34.186,33.982,34.52,36.315,39.028,42.103,45.265,48.593,52.171
Netherlands,193.758,162.4,157.338,153.179,142.578,144.655,201.599,246.928,264.223,260.532,321.405,331.097,366.004,355.931,382.55,452.71,450.625,417.329,438.61,447.493,417.664,431.59,473.527,579.925,658.081,685.727,733.994,848.659,951.766,870.572,848.073,905.111,839.455,877.186,892.398,765.65,783.844,833.575,914.458,910.295,913.134,1018.684,1013.595,1072.789,1127.174,1176.644,1224.711,1270.575
New Zealand,22.523,23.442,23.207,22.456,22.349,22.51,27.393,36.931,45.447,44.097,45.773,43.438,41.53,44.797,52.904,62.264,69.092,68.865,56.814,58.884,54.128,53.131,62.061,82.412,101.599,113.265,109.745,134.875,135.376,121.695,145.364,166.948,175.023,187.145,200.151,176.247,185.824,203.595,209.697,211.036,210.698,247.685,257.211,276.72,291.187,302.167,316.513,330.704
Nicaragua,1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.757,13.286,13.786,13.025,12.625,12.62,14.25,15.764,16.776,17.515,18.323,19.104,19.966
Niger,3.531,3.056,2.84,2.538,2.056,2.027,2.68,3.143,3.21,3.068,3.491,3.271,3.372,3.041,1.935,2.296,2.397,2.285,2.639,2.532,2.235,2.442,2.772,3.382,3.746,4.372,4.743,5.716,7.279,7.324,7.838,8.754,9.412,10.206,10.83,9.684,10.35,11.185,12.85,12.912,13.758,14.959,15.62,17.303,19.91,23.268,25.596,27.762
Nigeria,,,,,,,,,,,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.966,568.499,492.437,404.649,375.745,421.737,448.12,429.423,441.541,510.588,580.121,656.692,744.225,844.414,958.491
North Macedonia ,,,,,,,,,,,,,2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.499,9.751,10.824,11.378,10.067,10.686,11.336,12.694,12.609,12.138,13.889,14.198,15.546,16.818,18.072,19.346,20.609
Norway,64.439,63.597,62.647,61.627,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.031,163.52,161.357,154.163,162.285,171.246,173.973,195.525,228.858,264.51,308.884,345.579,400.939,462.25,386.188,428.757,498.283,509.506,522.762,498.41,385.802,368.827,398.394,437,404.941,362.198,482.437,541.938,549.733,559.533,565.327,572.055,591.374
Oman,6.342,7.719,8.1,8.491,9.358,10.395,8.229,8.628,8.386,9.372,11.686,11.341,12.452,12.494,12.919,13.803,15.277,15.837,13.997,15.593,19.507,19.452,20.143,21.634,24.764,31.082,37.216,42.085,60.905,48.388,57.048,68.017,76.616,78.784,81.077,68.919,65.481,70.598,79.789,76.332,72.056,83.656,110.127,110.25,109.184,110.321,112.614,115.757
Pakistan,34.821,41.192,45.026,42.038,45.639,45.634,46.734,48.848,56.254,58.65,58.862,66.87,71.541,75.718,76.325,89.197,93.145,91.84,91.418,86.573,89.651,87.389,88.08,101.232,118.811,132.583,154.496,171.526,191.029,188.101,198.922,240.081,251.124,259.593,274.558,304.081,312.919,339.245,354.436,318.478,299.296,347.743,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,0.149,0.155,0.162,0.153,0.164,0.183,0.189,0.193,0.194,0.182,0.182,0.193,0.211,0.222,0.241,0.288,0.298,0.285,0.285,0.274,0.258,0.215,0.244,0.296,0.306,0.316,0.327,0.338
Panama,4.104,4.645,5.132,5.269,5.5,5.818,6.046,6.073,5.25,5.264,5.723,6.292,7.153,7.812,8.33,8.515,10.04,10.849,11.762,12.326,12.502,12.704,13.204,13.915,15.255,16.638,18.438,21.296,25.156,27.117,29.44,34.686,40.43,45.6,49.921,54.092,57.908,62.203,64.929,66.984,53.977,63.605,70.492,76.549,82.364,88.211,94.474,101.182
Papua New Guinea,4.087,4.011,3.805,3.799,3.509,3.25,3.535,3.885,5.4,5.238,4.757,5.596,6.466,7.349,8.077,7.149,7.608,7.272,5.558,5.072,5.169,4.531,4.387,5.488,6.279,7.339,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.743,24.11,24.751,24.665,26.937,29.919,32.334,34.302,36.388,38.154,40.522
Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.615,22.355,27.129,33.737,33.296,38.651,40.378,36.211,36.09,38.997,40.225,37.907,35.432,38.287,41.935,44.671,47.227,50.142,53.063,56.19
Peru,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.734,121.531,148.819,170.656,192.85,202.082,202.278,191.247,194.266,214.128,225.37,230.908,205.233,224.725,240.346,257.96,270.06,282.035,294.96,308.592
