"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Austria,80.923,70.121,70.111,71.032,67.007,68.624,97.375,121.771,133.591,133.263,166.866,174.435,195.506,190.383,203.97,241.234,237.343,213.045,218.557,217.475,197.377,197.51,214.243,262.208,301.321,316.267,336.298,389.231,432.005,401.323,392.595,431.609,409.661,430.197,442.699,382.01,395.728,417.114,455.374,445.061,432.912,477.4,479.815,518.808,550.551,578.061,605.395,630.527
Azerbaijan,,,,,,,,,,,,,1.193,1.309,2.258,2.417,3.177,3.963,4.28,4.581,5.273,5.475,6.232,7.276,8.682,13.273,21.027,33.09,48.979,44.289,52.913,65.99,69.687,74.16,75.24,50.844,37.83,41.375,47.113,48.174,42.693,54.622,73.369,72.912,73.439,74.776,77.001,80.08
"Bahamas, The",2.598,2.692,3.031,3.373,3.603,3.923,4.241,4.669,4.855,5.473,5.218,5.128,5.125,5.097,5.372,5.653,5.95,6.332,6.833,7.684,8.076,8.318,8.881,8.87,9.055,9.836,10.167,10.618,10.526,9.982,10.096,10.07,10.72,10.495,11.143,11.891,11.993,12.36,12.838,13.164,9.908,11.126,12.627,13.63,14.425,15.074,15.66,16.257
Bahrain,3.593,4.056,4.264,4.368,4.534,4.278,3.347,3.626,4.481,4.675,4.965,5.209,5.442,5.986,6.411,6.787,7.057,7.318,6.996,7.582,9.063,9.189,9.594,11.075,13.15,15.969,18.505,21.73,25.711,22.938,25.713,28.777,30.749,32.539,33.388,31.051,32.235,35.474,37.802,38.653,34.723,38.869,44.169,45.421,47.067,48.958,51.068,53.407
Bangladesh,22.561,22.353,20.93,20.274,22.744,24.442,25.138,27.521,29.612,32.289,34.831,36.036,36.718,37.05,39.386,43.969,47.025,48.935,51.158,53.109,54.348,54.502,55.759,60.108,65.666,69.461,71.815,79.617,91.63,102.478,115.279,128.638,133.356,149.991,172.885,195.079,221.415,249.711,274.039,302.571,323.057,357.099,396.543,438.436,481.002,526.838,576.122,628.412
Barbados,1.018,1.12,1.171,1.243,1.355,1.418,1.557,1.714,1.823,2.018,2.024,2.032,1.957,2.075,2.163,2.229,2.377,2.513,2.833,2.969,3.059,3.055,3.106,3.21,3.444,3.82,4.217,4.674,4.785,4.466,4.53,4.658,4.61,4.677,4.696,4.715,4.83,4.978,5.087,5.298,4.677,4.871,5.53,5.926,6.234,6.522,6.806,7.083
Belarus,,,,,,,,,,,,,12.8,11.408,15.687,10.532,14.494,14.091,15.215,12.133,10.785,12.778,15.092,18.42,23.928,31.239,38.219,46.815,62.798,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,60.011,64.414,61.312,68.208,59.394,60.188,62.866,64.824,66.496,68.362
Belgium,123.478,102.245,89.958,85.037,81.237,84.467,117.063,145.411,158.097,159.816,200.149,205.369,228.732,218.72,238.622,288.301,279.292,253.022,258.876,258.5,236.897,236.748,258.2,318.004,369.047,385.927,408.281,470.978,517.27,482.73,481.814,523.239,496.467,521.799,535.529,462.383,475.931,502.587,543.52,535.347,521.445,599.989,609.887,639.716,667.661,694.257,720.983,746.317
Belize,0.172,0.179,0.179,0.189,0.211,0.209,0.228,0.267,0.315,0.363,0.412,0.445,0.519,0.56,0.581,0.62,0.642,0.655,0.689,0.733,0.832,0.872,0.932,0.991,1.058,1.111,1.211,1.283,1.353,1.321,1.388,1.467,1.531,1.582,1.676,1.734,1.797,1.845,1.887,1.945,1.586,1.797,1.991,2.135,2.226,2.316,2.409,2.507
Benin,2.302,1.557,1.542,1.365,1.456,1.58,2.036,2.43,2.552,2.37,2.89,2.954,3.284,3.199,2.227,2.993,3.251,3.124,3.362,3.681,3.522,3.666,4.191,5.348,6.187,6.571,7.034,8.17,9.787,9.728,9.543,10.691,11.148,12.518,13.288,11.389,11.818,12.697,14.257,14.392,15.674,17.455,18.387,20.029,21.842,23.869,26.032,28.306
