General government net lending/borrowing (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Belgium,-9.7,-16,-12.8,-15,-11.2,-10.4,-10.3,-8.1,-7.5,-7.8,-7,-7.7,-8.4,-7.7,-5.3,-4.5,-4,-2.2,-1,-0.6,-0.1,0.2,0,-1.9,-0.2,-2.7,0.2,0.1,-1.1,-5.4,-4.1,-4.3,-4.3,-3.1,-3.1,-2.4,-2.4,-0.7,-0.8,-1.9,-9.1,-6,-5.1,-4.4,-4.8,-4.8,-5,-5.4
Belize,,,,,,,,,,,,,,,,,-2.3,-2.4,-3.6,-8.9,-9.1,-9.7,-7.2,-11.1,-6,-4.9,-3,-0.2,1.6,-3.1,-2.4,-1.3,-0.3,-1.6,-2.2,-6.5,-5.6,-4.3,-1.7,-3.5,-9.1,-3.2,-1.7,-1.9,-2.1,-2.1,-2.2,-2.2
Benin,,,,,,,,,,0.9,-3.2,-3.1,-2.7,-0.6,-2.1,-2.6,-0.1,0.6,2.5,1.9,-3.7,-3.3,-3.3,-1.1,-0.7,-1.5,-0.1,0.2,0,-2.2,-0.3,-1,-0.2,-1.4,-1.7,-5.6,-4.3,-4.2,-3,-0.5,-4.7,-5.8,-4.5,-3.5,-2.5,-2.5,-2.5,-2.5
Bhutan,,-3.8,1.2,-1,2.2,-9.7,-3.7,-0.6,1.4,-10.9,-7.8,-0.5,-3.7,5.1,-0.1,-1,2.7,-2.1,1.4,-1.4,-3.6,-13.1,-4.7,-11,1.9,-7.5,-0.1,0.9,-2.8,-0.9,2.1,-3.4,-2.3,-5,2.7,-0.5,-2.5,-4.8,-1.6,-1.6,-1.9,-6.3,-10.2,-7.7,-5,-3,-2.8,-2.4
Bolivia,,-9.6,-15.9,-19.8,-25.4,-9.8,-2.7,-7.7,-6.5,-5.5,-4.4,-4.2,-4.4,-6.1,-3,-1.8,-1.9,-3.3,-5.1,-3.8,-3.7,-6.8,-8.8,-7.9,-5.5,-2.2,4.5,1.7,3.6,0,1.7,0.8,1.8,0.7,-3.4,-6.9,-7.2,-7.8,-8.1,-7.2,-12.7,-9.3,-7.5,-6.8,-6.7,-6.7,-6.4,-5.8
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,-1,-2.8,-4.6,-3.5,-3,-0.4,-0.2,0.8,2.1,0.2,-3.9,-5.3,-4.1,-2.7,-2.7,-1.3,-2.9,-0.2,0.3,1.8,1.7,1.4,-4.7,-0.7,-0.2,0.2,0.3,0.3,0.3,0.1
Botswana,,,,,,,,,,,,,,,,,,,,,8.7,-2.9,-3.9,-0.2,1.3,10.3,13.3,5.7,-7.6,-13.8,-8,-0.1,0.9,5.8,3.9,-4.8,0.7,-1.1,-5,-8.5,-11,-4.7,-3.1,1,1.3,1.6,1.6,1.6
Brazil,,,,,,,,,,,,,,,,,-5.3,-5.6,-7.2,-5.2,-3.3,-3.2,-4.4,-5.2,-2.9,-3.5,-3.6,-2.7,-1.5,-3.2,-3.8,-2.5,-2.5,-3,-6,-10.2,-9,-7.8,-7,-5.9,-13.3,-4.4,-7.6,-7.4,-5.6,-4.9,-4.4,-4.5
Brunei Darussalam,,,,,,33.1,7.9,4.3,-3.8,-5.8,-2.1,-1.4,-9.9,-15.7,-30,-27.1,-11.1,-14.5,-28.7,-20.8,6.9,2.6,-4.6,8.1,8.6,16,19.9,3.2,36.2,3.6,7.6,25.6,15.8,13,3.6,-14.5,-21.7,-10.4,-3.6,-9.7,-15.7,-1.1,19.3,9.6,0.8,-2.9,-4.8,-5.7
Bulgaria,,,,,,,,,,,,,,,,,,,1.1,0.2,-0.6,-0.6,-0.6,0,1.6,2.2,3.2,3.1,2.7,-0.9,-3.8,-1.8,-0.4,-1.8,-3.7,-2.8,1.5,0.8,0.1,-1,-2.9,-2.9,-2.8,-1.5,-1,0,0.2,0.3
Burkina Faso,,,,,,-1.2,-5.1,-5.3,-4.3,2,-7.5,-2.8,-2.5,-3.8,-1.9,-2.6,-1.7,-2.6,-2.6,-3.3,-3,-3.6,-4.4,-1.8,-4.2,-4.9,14.3,-5,-3.6,-4.2,-4.1,-2,-2.8,-3.5,-1.7,-2.1,-3.1,-6.9,-4.4,-3.4,-5.7,-5.6,-6.1,-5,-4,-3,-3,-3
Burundi,,,,,,,,,,,9.5,4.8,-4.8,-1.4,-2.1,-4.3,-10,-5.2,-5.2,-6.1,-6.4,-8.7,-5.4,-14.7,-15.5,-10.6,-9.9,-2.5,-2.7,-5.1,-3.6,-3.5,-3.8,-1.9,-3.9,-7.6,-7.1,-5,-6.7,-6.4,-6.6,-3.9,-7.4,-7.5,-4.6,-2.6,-2.4,-2.2
Cabo Verde,,,,,,,,,,,,,,,-12.8,-11.8,-12.4,-11.5,-3.6,-11.5,-17.8,-6.5,-7.8,-4.5,-3.7,-6,-5.1,-0.9,-1.6,-5.8,-10.5,-7.7,-10.3,-9.3,-7.6,-4.6,-3,-3,-2.7,-1.8,-9.1,-8.5,-7.1,-5.1,-4,-2.5,-1.1,-0.8
Cambodia,,,,,,,,,,,,,,,,,-7.5,-3.7,-5.4,-3.8,-4.8,-5.1,-6.4,-6.2,-3.6,-0.4,-0.2,0.7,0.5,-4.8,-3.8,-4.7,-4.5,-2.6,-1.6,-0.6,-0.3,-0.8,0.7,3,-3.5,-5.6,-4.1,-3.9,-3.3,-3.2,-3.1,-2.8
Cameroon,,,,,,,,,,,,,,,,,,,,,1.5,0.9,1.5,0.6,-0.5,3,28.2,3.9,2,0,-0.9,-2.3,-1.4,-3.6,-4.1,-4.2,-5.9,-4.7,-2.4,-3.2,-3.2,-3.2,-1.2,0.7,-0.4,0,-0.5,-1
Canada,-4,-2.9,-6.9,-8,-7.9,-8.8,-7.3,-5.7,-4.5,-4.7,-5.9,-8.4,-9.2,-8.9,-6.9,-5.5,-3.1,0,0.1,1.7,2.6,0.5,-0.2,-0.1,0.8,1.6,1.8,1.8,0.2,-3.9,-4.7,-3.3,-2.5,-1.5,0.2,-0.1,-0.5,-0.1,0.4,0,-11.4,-4.7,-2.2,-0.8,-0.7,-0.5,-0.4,-0.3
