"Current account balance
U.S. dollars (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Eritrea,,,,,,,,,,,,,,0.116,0.16,-0.023,-0.06,0.04,-0.167,-0.205,-0.115,-0.144,0,-0.016,-0.007,0.004,-0.043,-0.081,-0.071,-0.147,-0.182,0.264,0.281,0.045,0.451,0.419,0.339,0.456,0.31,0.258,0.237,0.306,0.347,0.37,0.364,0.356,0.374,0.396
Estonia,,,,,,,,,,,,,,0.021,-0.165,-0.158,-0.399,-0.563,-0.48,-0.246,-0.309,-0.445,-0.818,-1.273,-1.45,-1.226,-2.545,-3.34,-2.115,0.502,0.349,0.305,-0.437,0.073,0.191,0.406,0.296,0.609,0.244,0.784,-0.079,-0.411,0.581,0.707,0.527,0.317,0.034,-0.224
Eswatini,-0.13,-0.081,-0.114,-0.107,-0.077,-0.038,0.011,0.066,0.095,0.077,0.051,0.047,-0.041,-0.064,0.002,-0.03,-0.052,-0.003,-0.093,-0.033,-0.046,0.009,0.033,0.089,0.071,-0.103,-0.197,-0.065,-0.231,-0.416,-0.388,-0.282,0.246,0.499,0.512,0.527,0.3,0.275,0.063,0.194,0.266,0.025,-0.1,-0.009,0.03,0.055,0.039,0.02
Ethiopia,-0.226,-0.195,-0.298,-0.186,-0.229,0.102,-0.197,-0.102,-0.293,-0.164,-0.144,-0.299,0.005,0.007,-0.088,0.194,0.027,-0.023,-0.042,-0.528,-0.202,-0.11,-0.314,-0.104,-0.382,-0.913,-1.793,-1.19,-1.481,-2.341,-1.202,-0.205,-2.769,-2.764,-4.288,-7.239,-7.867,-6.499,-5.233,-4.934,-4.444,-3.169,-4.748,-5.128,-5.277,-5.359,-5.637,-6.43
Fiji,-0.041,-0.181,-0.119,-0.106,-0.068,-0.067,-0.035,0.02,0.067,-0.016,-0.133,-0.074,-0.04,-0.09,-0.037,-0.031,0.019,-0.06,-0.007,-0.05,-0.093,-0.111,-0.02,-0.139,-0.369,-0.281,-0.501,-0.374,-0.532,-0.119,-0.14,-0.197,-0.054,-0.426,-0.281,-0.209,-0.176,-0.359,-0.462,-0.685,-0.578,-0.787,-0.673,-0.609,-0.545,-0.589,-0.586,-0.616
Finland,-1.403,-0.478,-0.923,-1.124,-0.021,-0.806,-0.693,-1.731,-2.694,-5.797,-7.159,-6.866,-5.275,-1.304,0.852,5.143,4.646,6.038,6.317,6.56,9.024,9.942,10.969,7.404,11.061,5.898,8.535,10.328,7.265,5.053,3.716,-3.968,-5.312,-4.878,-3.661,-2.198,-4.813,-2.052,-5.089,-0.839,2.264,2.769,1.243,-0.027,-0.181,-1.32,-1.46,-1.63
France,-4.17,-4.746,-12.062,-4.692,-0.754,-0.349,2.349,-4.447,-4.655,-4.63,-9.843,-6.164,3.827,9.179,8.155,7.332,19.357,54.002,55.432,66.173,14.98,21.681,17.171,15.386,11.277,2.279,5.871,-2.709,-20.306,-14.808,-16.623,-24.598,-25.887,-14.338,-27.274,-8.973,-12.02,-19.848,-23.19,-7.934,-49.845,-27.42,-54.02,-51.284,-45.929,-34.191,-33.558,-30.343
Gabon,1.246,0.641,0.513,0.451,0.635,0.374,-0.948,-0.266,-0.602,-0.177,0.15,0.091,-0.226,-0.058,0.336,0.465,0.889,0.531,-0.621,0.39,1.001,0.517,0.338,0.766,0.924,1.983,1.796,1.701,3.368,0.539,2.144,4.371,3.074,1.282,1.376,-0.801,-1.551,-1.291,-0.347,-0.145,-0.924,-1.324,0.372,-0.033,-0.373,-0.59,-0.657,-0.469
"Gambia, The",-0.117,-0.035,-0.006,-0.004,-0.013,-0.006,-0.001,-0.004,0.01,0.005,-0.008,0,0,-0.017,-0.01,-0.016,-0.053,-0.005,-0.01,-0.012,-0.035,-0.033,-0.033,-0.039,-0.026,-0.065,-0.045,-0.066,-0.118,-0.113,-0.155,-0.105,-0.063,-0.093,-0.09,-0.134,-0.136,-0.111,-0.158,-0.111,-0.058,-0.192,-0.322,-0.277,-0.246,-0.283,-0.278,-0.294
Georgia,,,,,,,,,,,,,,,,-0.347,-0.383,-0.459,-0.462,-0.281,-0.176,-0.197,-0.217,-0.382,-0.356,-0.696,-1.191,-1.992,-2.811,-1.141,-1.199,-1.843,-1.883,-0.955,-1.784,-1.767,-1.886,-1.306,-1.192,-0.96,-1.966,-1.834,-2.385,-1.742,-1.605,-1.628,-1.738,-1.887
Germany,-15.215,-4.911,6.007,4.611,9.28,17.594,37.989,43.574,54.677,58.96,50.055,-26.672,-25.281,-21.482,-33.145,-32.238,-16.89,-11.289,-15.932,-31.251,-34.324,-7.161,39.267,35.36,127.156,133.119,172.872,235.055,213.169,198.881,195.436,232.889,251.608,244.845,280.261,288.82,295.118,288.887,316.32,294.346,272.471,313.956,249.751,313.448,342.447,353.666,360.084,369.259
Ghana,-0.054,-0.508,-0.19,-0.227,-0.203,-0.256,-0.185,-0.205,-0.179,-0.202,-0.292,-0.377,-0.524,-0.708,-0.41,-0.32,-0.306,-1.002,-0.598,-0.947,-0.483,-0.374,-0.076,0.014,-0.685,-1.219,-1.678,-2.158,-3.4,-1.397,-2.77,-3.545,-4.914,-5.704,-3.694,-2.824,-2.867,-2.002,-2.044,-1.876,-2.158,-2.295,-2.677,-2.726,-3.256,-3.399,-3.804,-3.522
Greece,-2.192,-2.392,-1.889,-1.878,-2.132,-3.276,-1.676,-1.223,-0.958,-2.561,-3.537,-1.573,-2.144,-0.747,-0.146,-3.214,-5.094,-5.331,-3.795,-5.347,-7.836,-9.388,-9.659,-12.738,-13.325,-18.22,-29.71,-44.399,-51.535,-35.972,-29.861,-28.716,-5.983,-6.119,-5.566,-2.942,-4.583,-5.143,-7.584,-4.584,-13.84,-13.878,-14.064,-14.363,-13.466,-11.857,-9.892,-7.449
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.105,-0.125,-0.117,-0.162,-0.188,-0.177,-0.22,-0.274,-0.333,-0.262,-0.208,-0.194,-0.194,-0.195
Guatemala,-0.163,-0.573,-0.399,-0.224,-0.377,-0.246,-0.018,-0.443,-0.414,-0.367,-0.213,-0.184,-0.706,-0.702,-0.625,-0.572,-0.452,-0.634,-1.039,-1.026,-1.05,-1.211,-1.262,-1.02,-1.165,-1.241,-1.524,-1.786,-1.554,0.072,-0.767,-1.58,-1.847,-2.239,-1.909,-0.774,0.637,0.804,0.622,1.791,4.249,2.336,0.035,0.263,0.396,0.533,0.647,0.614
Guinea,0.054,-0.073,-0.085,-0.003,-0.006,-0.041,-0.124,-0.038,-0.222,-0.18,-0.266,-0.22,-0.237,-0.198,-0.24,-0.272,-0.33,-0.24,-0.32,-0.256,-0.123,0.012,0,-0.002,-0.092,-0.037,-0.131,-0.461,-0.459,-0.381,-0.439,-1.107,-1.456,-1.048,-1.263,-1.102,-2.638,-0.697,-2.272,-1.548,-2.09,-0.7,-2.002,-1.95,-2.503,-2.042,-2.047,-2.089
Guinea-Bissau,-0.061,-0.039,-0.08,-0.072,-0.066,-0.076,-0.05,-0.045,-0.056,-0.08,-0.045,-0.075,-0.097,-0.062,-0.046,-0.035,-0.044,-0.033,-0.021,-0.013,0.011,-0.016,-0.015,-0.014,-0.009,-0.01,-0.039,-0.031,-0.029,-0.048,-0.071,-0.014,-0.083,-0.048,0.006,0.021,0.017,0.004,-0.054,-0.127,-0.039,-0.051,-0.092,-0.086,-0.085,-0.084,-0.088,-0.091
Guyana,-0.153,-0.238,-0.181,-0.181,-0.116,-0.15,-0.161,-0.127,-0.1,-0.12,-0.161,-0.138,-0.116,-0.098,-0.059,-0.057,-0.032,-0.081,-0.091,-0.02,-0.07,-0.071,-0.05,-0.045,-0.019,-0.098,-0.164,-0.131,-0.232,-0.146,-0.189,-0.314,-0.302,-0.412,-0.276,-0.147,0.065,-0.232,-1.389,-2.801,-0.794,-2.283,6.155,5.943,4.587,4.168,4.192,4.538
Haiti,-0.082,-0.105,-0.075,-0.071,-0.068,-0.058,-0.038,-0.025,-0.018,0,-0.05,-0.104,-0.075,-0.062,-0.016,-0.039,-0.04,-0.012,0.016,-0.044,-0.04,-0.074,-0.03,-0.044,-0.056,0.031,-0.069,-0.085,-0.205,-0.122,-0.102,-0.327,-0.449,-0.561,-1.098,-0.758,-0.246,-0.325,-0.474,-0.169,0.158,0.098,0.154,-0.131,-0.13,-0.153,-0.144,-0.2
Honduras,-0.317,-0.303,-0.222,-0.22,-0.273,-0.182,-0.101,-0.242,-0.132,-0.218,-0.08,-0.15,-0.22,-0.31,-0.309,-0.177,-0.194,-0.17,-0.128,-0.241,-0.508,-0.479,-0.282,-0.553,-0.678,-0.29,-0.404,-1.116,-2.13,-0.557,-0.804,-1.409,-1.581,-1.763,-1.372,-0.98,-0.683,-0.288,-1.582,-0.669,0.661,-1.385,-1.329,-1.508,-1.496,-1.594,-1.601,-1.656
Hong Kong SAR,-1.432,-0.774,-0.176,0.168,2.293,2.612,2.652,3.879,3.843,6.298,4.764,3.836,3.135,5.711,-1.12,-9.064,-4.001,-7.729,2.507,10.65,7.538,10.393,13.129,17.461,16.849,21.637,24.539,27.553,33.007,21.148,15.996,13.844,4.148,4.188,4.055,10.264,12.701,15.593,13.523,21.356,24.088,41.237,40.381,36.601,36.915,36.068,34.865,35.278
Hungary,-1.102,-1.369,-0.531,-0.181,0.039,-0.455,-1.365,-0.676,-0.572,-0.588,0.289,-1.247,-0.773,-4.876,-5.076,-1.622,-1.787,-1.92,-3.442,-3.872,-4.015,-3.131,-4.289,-6.811,-8.88,-8.138,-8.624,-10.334,-11.488,-1.044,0.256,0.661,1.993,4.699,1.701,2.938,5.765,2.863,0.255,-1.139,-2.473,-1.746,-2.603,0.24,1.155,1.393,1.617,1.584
Iceland,-0.069,-0.145,-0.256,-0.053,-0.13,-0.116,0.021,-0.184,-0.208,-0.076,-0.132,-0.272,-0.166,0.043,0.122,0.013,-0.182,-0.178,-0.612,-0.639,-0.92,-0.35,0.113,-0.559,-1.389,-2.647,-3.967,-2.939,-3.758,-1.172,-0.838,-0.72,-0.528,1.008,0.787,0.986,1.684,1.044,0.925,1.442,0.178,-0.71,0.165,0.298,0.464,0.379,0.31,0.317
India,-2.799,-3.166,-3.393,-3.207,-2.416,-4.811,-4.564,-4.848,-7.203,-5.961,-9.624,-1.17,-4.913,-1.16,-3.369,-5.897,-4.496,-5.502,-4.037,-4.697,-2.666,3.4,6.344,14.082,-2.47,-9.901,-9.565,-15.736,-27.914,-38.437,-47.867,-78.2,-87.843,-32.257,-26.788,-22.086,-14.351,-48.662,-57.183,-24.549,24.011,-49.344,-102.049,-96.07,-104.333,-110.699,-118.879,-127.967
Indonesia,2.9,-0.6,-5.4,-6.7,-2.3,-2.1,-4.3,-2.4,-2.1,-1.7,-3.2,-4.4,-3.1,-2.3,-3,-6.8,-7.3,-3.8,4,5.752,7.99,6.9,7.822,8.107,5.258,1.595,9.542,6.795,0.126,10.628,5.303,1.685,-24.418,-29.109,-27.51,-17.518,-16.953,-16.196,-30.633,-30.279,-4.433,3.326,57.661,6.57,-16.551,-19.483,-23.761,-28.066
Iran,-3.555,-4.328,4.913,-0.44,-0.957,-0.936,-5.668,-2.699,-2.123,-2.972,-2.7,-11.2,-7.3,-4.2,5,3.358,5.232,2.213,-2.14,6.589,12.966,5.682,5.89,3.206,2.514,11.499,21.088,31.27,20.142,8.015,21.321,60.075,21.74,23.136,12.2,1.36,13.236,14.916,26.741,3.754,-0.707,28.628,60.768,36.183,22.133,13.435,9.282,9.784
Iraq,,,,,,,,,,,,,,,,,,,,,,0.414,-0.386,-1.683,-8.811,4.35,2.106,-3.01,16.714,-12.865,2.267,20.208,11.027,2.681,6.106,-11.307,-12.537,-9.036,9.727,1.087,-18.301,12.365,47.113,30.302,19.647,11.783,7.734,5.649
Ireland,-2.262,-2.58,-1.872,-1.155,-1.027,-0.692,-0.82,-0.088,0.094,-0.494,-0.372,0.34,0.545,1.83,1.496,1.716,2.025,1.947,0.328,-0.114,0.615,0.195,0.317,0.81,-0.19,-7.505,-12.43,-17.587,-17.227,-11.022,-2.659,-3.91,-7.629,3.703,2.783,12.823,-12.586,1.648,18.913,-79.235,-11.293,69.59,52.647,47.265,44.051,45.225,47.294,49.864
Israel,-0.879,-1.364,-2.258,-2.369,-1.573,0.991,1.28,-1.406,-0.832,0.214,0.169,-1.273,-0.87,-2.481,-3.409,-4.964,-5.352,-3.643,-1.171,-1.538,-1.99,-1.93,-1.082,0.765,2.033,4.36,6.291,5.619,2.211,6.751,7.573,3.945,1.038,8.282,12.688,15.502,11.349,12.799,10.442,13.375,22.168,22.178,16.681,16.954,16.582,16.172,15.552,14.758
Italy,-16.95,-15.431,-10.254,1.366,-4.026,-5.567,2.756,-2.92,-8.053,-15.031,-21.692,-29.946,-34.125,11.908,12.647,24.415,38.653,32.36,21.035,10.046,-3.13,1.806,-6.353,-12.417,-8.702,-16.424,-28.773,-30.267,-67.305,-41.424,-70.439,-64.82,-4.816,23.857,41.006,26.366,48.884,50.73,52.884,64.839,70.856,69.088,36.615,52.471,60.377,66.321,72.264,75.711
Jamaica,-0.117,-0.434,-0.539,-0.299,-0.245,-0.254,-0.083,-0.141,-0.061,-0.324,-0.334,-0.17,-0.078,-0.085,-0.02,-0.09,-0.102,-0.313,-0.261,-0.293,-0.359,-0.643,-1.033,-0.7,-0.642,-1.073,-1.183,-2.03,-2.794,-1.128,-0.935,-1.965,-1.44,-1.357,-1.114,-0.43,-0.043,-0.396,-0.244,-0.364,-0.043,0.109,-0.811,-0.339,-0.636,-0.854,-0.893,-0.832
Japan,-10.75,4.761,6.847,20.804,35.009,50.18,84.522,84.253,79.173,63.142,44.709,68.116,112.394,131.918,130.543,110.422,68.912,95.116,115.137,114.276,130.591,86.189,109.149,139.437,182.066,170.094,174.48,212.179,142.573,145.21,221.06,129.882,59.675,45.952,36.771,136.448,197.779,203.535,177.821,175.965,148.833,141.711,117.215,142.188,166.188,183.523,192.813,202.021
Jordan,0.374,-0.039,-0.333,-0.391,-0.265,-0.26,-0.04,-0.352,-0.294,0.385,-0.227,-0.394,-0.835,-0.629,-0.398,-0.259,-0.222,0.029,0.014,0.405,0.027,-0.025,0.502,1.199,0.039,-2.272,-1.726,-2.874,-2.055,-1.245,-1.885,-2.96,-4.718,-3.509,-2.612,-3.475,-3.857,-4.399,-2.967,-0.948,-3.552,-4.573,-2.83,-2.336,-2.268,-2.158,-1.788,-1.943
Kazakhstan,,,,,,,,,,,,,-1.485,-0.445,-0.91,-0.213,-0.751,-0.799,-1.225,-0.171,0.366,-1.39,-1.024,-0.273,0.335,-1.036,-2,-8.373,6.25,-4.121,1.385,10.199,2.247,1.954,6.114,-6.012,-8.132,-5.102,-0.138,-7.299,-6.485,-5.66,5.834,0.589,-2.178,-3.489,-4.997,-5.754
Kenya,-0.876,-0.562,-0.305,-0.047,-0.127,-0.115,-0.045,-0.502,-0.471,-0.59,-0.705,-0.288,-0.357,0.898,0.729,-0.283,0.066,0.063,0.281,1.058,-0.199,-0.32,-0.118,0.132,-0.132,-0.275,-0.501,-1.058,-1.961,-1.633,-2.37,-3.819,-4.216,-4.842,-6.378,-4.421,-4.038,-5.776,-5.033,-5.287,-4.797,-5.938,-6.68,-6.318,-6.556,-6.915,-7.301,-7.699
Kiribati,0.011,0.009,0.005,0.004,0.01,0.006,0.011,0.006,0.001,0.003,-0.006,0.009,-0.009,-0.001,0,-0.006,-0.017,0.004,0.016,0.002,-0.002,-0.006,-0.009,-0.008,-0.007,-0.029,-0.01,-0.003,-0.005,-0.017,0,-0.017,0.004,-0.01,0.056,0.056,0.019,0.071,0.076,0.087,0.071,0.035,0.015,0.023,0.024,0.026,0.027,0.028
"Korea, Republic of",-6.896,-6.487,-5.631,-3.594,-1.847,-2.178,2.607,8.631,12.758,3.766,-2.804,-8.033,-2.901,1.688,-4.793,-10.23,-24.461,-10.812,40.113,21.785,10.181,2.165,4.066,11.308,29.29,12.209,2.095,10.473,1.753,33.088,27.951,16.638,48.791,77.259,83.03,105.119,97.924,75.231,77.467,59.676,75.902,88.302,39.335,61.946,75.841,88.529,92.216,94.181
Kosovo,,,,,,,,,,,,,,,,,,,,,-0.081,-0.186,-0.214,-0.294,-0.259,-0.307,-0.284,-0.293,-0.678,-0.521,-0.685,-0.851,-0.377,-0.238,-0.511,-0.552,-0.533,-0.394,-0.601,-0.447,-0.539,-0.818,-0.859,-0.735,-0.711,-0.711,-0.737,-0.775
Kuwait,15.302,13.778,4.873,5.654,7.004,4.961,5.67,4.395,5.093,9.621,3.72,-26.22,-0.451,2.502,3.219,5.016,7.107,7.873,2.215,5.064,14.67,8.327,4.265,9.423,15.596,30.069,45.311,42.188,60.245,28.289,36.714,66.14,79.133,70.206,54.413,4.016,-5.056,9.606,19.897,17.07,3.407,21.734,58.457,49.065,40.985,36.388,34.705,34.812
Kyrgyz Republic,,,,,,,,,,,,,-0.053,-0.086,-0.084,-0.235,-0.425,-0.138,-0.364,-0.184,-0.059,-0.024,0.045,0.194,0.135,0.093,-0.07,-0.193,-0.708,-0.202,-0.317,-0.479,-1.02,-1.016,-1.269,-1.059,-0.792,-0.477,-0.997,-1.073,0.349,-0.447,-1.1,-0.889,-0.832,-0.801,-0.754,-0.717
Lao P.D.R.,-0.043,-0.055,-0.051,-0.071,-0.057,-0.059,-0.064,-0.082,-0.079,-0.116,-0.078,-0.025,-0.041,-0.043,-0.106,-0.124,-0.233,-0.202,-0.076,-0.096,0.025,-0.215,-0.172,-0.262,-0.368,-0.482,-0.364,-0.494,-0.928,-1.143,-1.237,-1.368,-2.173,-3.174,-3.087,-3.22,-1.752,-1.901,-2.35,-1.711,-0.837,-0.921,-1.038,-1.248,-1.588,-1.596,-1.492,-1.575
Latvia,,,,,,,,,,,,,0.191,0.417,0.201,-0.016,-0.28,-0.345,-0.65,-0.544,-0.374,-0.628,-0.619,-0.915,-1.767,-2.007,-4.484,-6.426,-4.416,2.028,0.407,-0.945,-1.051,-0.843,-0.509,-0.161,0.445,0.382,-0.071,-0.227,0.964,-1.113,-0.64,-0.731,-0.62,-0.578,-0.366,-0.141
Lebanon,-0.139,-0.746,0.991,-1.177,-1.159,-0.491,-0.21,-0.2,-0.709,-0.603,-1.098,-2.524,-2.765,-0.46,-0.562,-1.071,-1.317,-5.036,-5.104,-3.328,-2.996,-3.418,-3.179,-3.626,-3.807,-2.424,-1.943,-2.403,-5.023,-7.947,-7.955,-6.551,-11.407,-13.121,-13.883,-9.918,-12.042,-13.99,-15.725,-14.358,-3.876,,,,,,,
Lesotho,-0.039,-0.052,0.133,0.17,0.174,0.147,0.162,0.218,0.082,0.087,0.183,-0.237,-0.167,-0.079,-0.067,-0.195,-0.253,-0.312,-0.183,-0.244,-0.043,0.039,0.056,0.027,0.156,0.152,0.306,0.358,0.314,0.033,-0.224,-0.373,-0.222,-0.125,-0.129,-0.087,-0.148,-0.062,-0.033,-0.049,-0.042,-0.228,-0.399,-0.243,-0.29,-0.29,-0.25,-0.152
Liberia,,,,,,,,,,,,,,,,,,,,,-0.106,-0.087,-0.026,-0.1,-0.055,0.021,-0.082,-0.021,-0.505,-0.232,0.021,-0.058,-0.555,-0.268,-1.072,-0.868,-0.747,-0.74,-0.696,-0.605,-0.496,-0.619,-0.617,-0.646,-0.604,-0.62,-0.65,-0.739
Libya,8.215,-3.963,-1.579,-1.643,-1.468,1.906,-0.166,-1.043,-1.826,-1.026,2.147,0.432,1.791,-0.844,0.151,0.934,-0.121,-0.137,-0.61,0.914,5.152,2.205,-1.501,-2.129,7.031,17.425,28.093,29.825,37.083,9.38,14.578,3.173,23.837,0.01,-18.998,-9.205,-4.708,4.441,11.108,4.683,-3.98,6.987,13.624,8.618,5.888,4.41,3.475,2.305
Lithuania,,,,,,,,,,,,,,-0.086,-0.094,-0.614,-0.723,-0.981,-1.298,-1.194,-0.675,-0.574,-0.734,-1.278,-1.724,-1.901,-3.295,-6.162,-6.542,0.537,-0.474,-1.981,-0.605,0.388,1.538,-1.165,-0.353,0.283,0.158,1.902,4.146,1.765,-0.472,-1.595,-1.518,-1.226,-1.097,-0.875
Luxembourg,,,,,,,,,,,,,,,,2.473,2.367,1.839,1.648,2.272,2.688,1.77,1.798,2.119,2.479,2.615,2.85,3.379,3.606,3.147,3.251,3.479,3.17,3.319,3.385,2.905,2.961,3.113,3.337,3.201,3.137,2.399,1.741,2.475,3.311,3.999,4.14,4.469
Macao SAR,,,,,,,,,,,,,,,,,,,,,,,2.324,2.525,3.507,2.876,2.215,3.999,3.272,5.947,10.992,14.879,16.772,20.272,17.956,10.515,11.954,15.511,18.238,18.681,3.879,4.127,1.244,6.676,12.275,16.273,18.008,18.461
Madagascar,-0.556,-0.363,-0.299,-0.247,-0.193,-0.184,-0.143,-0.141,-0.15,-0.084,-0.265,-0.23,-0.198,-0.258,-0.277,-0.276,-0.153,-0.202,-0.289,-0.225,-0.26,-0.14,-0.477,-0.328,-0.399,-0.734,-0.586,-0.843,-1.677,-1.748,-0.893,-0.777,-0.864,-0.808,-0.034,-0.184,0.057,-0.056,0.099,-0.323,-0.702,-0.774,-0.95,-0.937,-0.949,-0.808,-0.677,-0.743
Malawi,-0.26,-0.146,-0.112,-0.131,-0.042,-0.126,-0.085,-0.061,-0.087,-0.051,-0.086,-0.228,-0.285,-0.166,-0.181,-0.078,-0.147,-0.276,-0.004,-0.158,-0.073,-0.06,-0.473,-0.331,-0.363,-0.486,-0.697,-0.364,-0.803,-0.632,-0.597,-0.688,-0.55,-0.454,-0.495,-1.101,-1.013,-1.595,-1.19,-1.391,-1.629,-1.767,-2.086,-1.739,-1.487,-1.366,-1.272,-1.237
Malaysia,-0.266,-2.469,-3.585,-3.482,-1.657,-0.6,-0.101,2.575,1.867,0.315,-0.87,-4.183,-2.167,-2.991,-4.52,-8.644,-4.462,-5.935,9.529,12.604,8.488,7.287,7.19,13.381,15.079,20.695,26.194,29.747,39.446,31.442,25.711,32.459,16.245,11.262,14.845,9.002,7.225,8.909,8.008,12.778,14.287,12.907,17.13,18.685,19.516,20.46,22.075,22.884
Maldives,-0.01,-0.005,-0.004,-0.01,-0.004,0.006,0.011,0.02,0.022,0.022,0.029,0.006,-0.02,-0.054,-0.011,-0.018,-0.007,-0.035,-0.022,-0.079,-0.051,-0.059,-0.036,-0.031,-0.122,-0.273,-0.302,-0.266,-0.61,-0.226,-0.19,-0.39,-0.192,-0.141,-0.135,-0.307,-1.032,-1.027,-1.503,-1.49,-1.327,-0.792,-1.33,-1.082,-0.951,-0.92,-0.811,-0.689
Mali,-0.124,-0.14,-0.115,-0.103,-0.119,-0.21,-0.254,-0.214,-0.241,0.022,-0.03,0.041,-0.008,0.016,-0.09,-0.102,-0.243,-0.18,-0.181,-0.217,-0.257,-0.307,-0.08,-0.278,-0.375,-0.445,-0.225,-0.454,-1.337,-1.118,-1.147,-0.657,-0.273,-0.382,-0.676,-0.698,-1.015,-1.119,-0.837,-1.289,-0.403,-0.856,-1.015,-1.037,-1.122,-1.271,-1.346,-1.392
Malta,,,,,,,,,,,,,,,,-0.164,-0.181,-0.095,-0.098,-0.058,-0.209,-0.064,0.045,-0.067,-0.332,-0.523,-0.635,-0.307,-0.095,-0.563,-0.408,-0.019,0.157,0.27,0.989,0.299,-0.066,0.79,0.983,0.847,-0.457,-0.879,-0.285,-0.258,-0.166,-0.02,0.154,0.424
Marshall Islands,,,,,,,,,,,,,,,,-0.018,-0.031,-0.012,-0.011,-0.013,-0.014,-0.005,0.009,0.001,0.006,0.01,-0.002,0.005,-0.003,-0.018,-0.027,0,-0.004,-0.012,0.004,0.029,0.027,0.011,0.009,-0.061,0.039,0.008,-0.011,-0.008,-0.007,-0.009,-0.011,-0.013
Mauritania,,,,,,,,,,,-0.13,-0.083,-0.073,-0.095,-0.023,0.007,-0.003,-0.032,-0.018,-0.03,-0.098,-0.131,0.035,-0.175,-0.517,-0.877,0.148,-0.406,-0.479,-0.492,-0.357,-0.259,-1.264,-1.262,-1.471,-0.956,-0.707,-0.681,-0.976,-0.831,-0.576,-0.203,-1.3,-1.301,-0.956,-0.437,-0.136,-0.08
Mauritius,-0.117,-0.147,-0.041,-0.019,-0.051,-0.03,0.094,0.065,-0.056,-0.104,-0.119,-0.017,0,-0.092,-0.232,-0.022,0.034,-0.089,0.003,-0.124,-0.034,0.276,0.249,0.095,-0.116,-0.324,-0.612,-0.423,-0.971,-0.656,-1.006,-1.538,-0.827,-0.75,-0.69,-0.417,-0.491,-0.612,-0.555,-0.756,-1.365,-1.231,-1.58,-1.009,-0.66,-0.679,-0.711,-0.809
Mexico,-12.32,-18.278,-1.785,13.611,11.233,5.033,0.555,8.02,-2.44,-7.662,-10.35,-21.607,-36.147,-34.164,-42.911,-1.577,-2.507,-7.665,-15.992,-13.999,-18.752,-17.491,-13.041,-5.223,-4.683,-5.736,-3.319,-9.493,-16.62,-7.656,-4.737,-11.773,-18.381,-31.386,-25.259,-30.906,-24.14,-20.028,-24.326,-3.471,26.21,-4.866,-8.057,-10.312,-11.331,-12.891,-15.951,-18.242
"Micronesia, Fed. States of",,,,,,,,,,,,,,,,-0.02,-0.042,-0.064,-0.055,-0.046,-0.034,-0.042,-0.024,-0.015,-0.044,-0.025,-0.039,-0.027,-0.05,-0.059,-0.052,-0.06,-0.044,-0.032,0.02,0.014,0.024,0.038,0.085,0.069,0.01,0.003,-0.003,-0.011,-0.022,-0.023,-0.025,-0.029
Moldova,,,,,,,,,,,-0.121,0.083,-0.039,-0.181,-0.098,-0.085,-0.192,-0.275,-0.335,-0.068,-0.098,-0.027,-0.02,-0.13,-0.046,-0.226,-0.386,-0.671,-0.976,-0.485,-0.481,-0.852,-0.644,-0.49,-0.568,-0.463,-0.288,-0.555,-1.212,-1.112,-0.886,-1.436,-1.8,-1.653,-1.546,-1.516,-1.497,-1.525
Mongolia,-0.346,-0.808,-0.847,-0.825,-0.74,-0.813,-1.06,-0.991,-1.033,-1.229,-0.644,-0.095,-0.038,0.031,0.038,0.026,-0.037,0.074,-0.076,-0.06,-0.07,-0.062,-0.105,-0.099,0.063,0.088,0.372,0.172,-0.69,-0.342,-0.885,-4.512,-5.381,-4.732,-1.934,-0.948,-0.7,-1.155,-2.207,-2.162,-0.675,-1.959,0.029,-0.309,-1.391,-0.835,-1.06,-1.55
Montenegro,,,,,,,,,,,,,,,,,,,,,,-0.157,-0.146,-0.115,-0.149,-0.376,-0.862,-1.477,-2.258,-1.157,-0.842,-0.671,-0.625,-0.509,-0.57,-0.446,-0.71,-0.781,-0.937,-0.791,-1.244,-0.537,-0.832,-0.868,-0.919,-0.96,-1.011,-1.054
Morocco,-0.884,-1.136,-0.974,-0.991,-0.883,-1.261,-1.238,-1.538,0.104,-1.005,-0.714,-0.818,-0.873,-0.84,-1.194,-1.866,-0.654,-0.802,-0.925,-1.007,-1.434,0.797,0.412,0.263,-0.339,0.4,-0.252,-0.05,-4.637,-4.949,-4.078,-7.986,-9.347,-7.868,-6.569,-2.165,-4.185,-3.75,-6.219,-4.411,-1.683,-3.819,-7.961,-5.675,-6.708,-6.03,-5.639,-5.41
Mozambique,-0.367,-0.407,-0.497,-0.415,-0.308,-0.301,-0.409,-0.389,-0.359,-0.46,-0.517,-0.554,-0.501,-0.609,-0.648,-0.464,-0.561,-0.438,-0.774,-0.855,-0.697,-0.649,-0.869,-0.817,-0.479,-0.761,-0.755,-0.786,-1.147,-1.226,-1.679,-3.329,-6.79,-6.875,-6.437,-5.968,-3.846,-2.586,-4.499,-2.934,-3.869,-3.615,-8.122,-7.621,-8.098,-8.494,-6.73,-2.752
