"Current account balance
U.S. dollars (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Barbados,-0.027,-0.126,-0.042,-0.052,0.011,0.005,-0.016,-0.054,0.002,-0.003,-0.038,-0.024,0.145,0.069,0.14,0.058,0.089,-0.035,-0.086,-0.136,-0.112,-0.114,-0.162,-0.119,-0.361,-0.401,-0.442,-0.226,-0.461,-0.269,-0.209,-0.55,-0.391,-0.391,-0.433,-0.289,-0.206,-0.189,-0.201,-0.162,-0.323,-0.556,-0.682,-0.533,-0.433,-0.36,-0.32,-0.269
Belarus,,,,,,,,,,,,,0.222,-0.435,-0.444,-0.458,-0.516,-0.859,-1.017,-0.194,-0.459,-0.529,-0.326,-0.456,-1.192,0.459,-1.388,-3.013,-4.959,-6.133,-8.28,-5.053,-1.862,-7.567,-5.228,-1.831,-1.612,-0.952,0.023,-1.246,-0.259,1.843,-0.733,-0.589,-0.755,-0.627,-0.67,-0.644
Belgium,-4.938,-4.186,-2.607,-0.497,-0.055,0.675,3.069,2.801,3.599,3.604,3.637,4.763,6.664,11.251,12.6,15.391,13.836,13.842,13.255,20.07,9.393,7.896,11.622,10.806,11.434,7.701,7.554,7.044,-5.203,8,7.824,-10.15,-0.404,4.982,4.133,6.395,2.625,3.51,-4.466,0.859,4.383,5.582,3.076,5.929,7.852,9.14,10.823,13.038
Belize,-0.004,-0.005,-0.017,-0.012,-0.005,0.009,0.012,0.009,-0.003,-0.019,0.015,-0.026,-0.029,-0.049,-0.04,-0.017,-0.007,-0.032,-0.041,-0.062,-0.162,-0.19,-0.165,-0.184,-0.155,-0.151,-0.025,-0.052,-0.145,-0.083,-0.046,-0.02,-0.033,-0.073,-0.136,-0.175,-0.163,-0.158,-0.151,-0.185,-0.128,-0.159,-0.186,-0.19,-0.189,-0.187,-0.19,-0.193
Benin,-0.108,-0.264,-0.322,-0.159,-0.053,-0.041,-0.055,-0.037,-0.114,-0.015,-0.02,-0.235,-0.078,-0.06,0.011,-0.169,-0.041,-0.155,-0.133,-0.156,-0.081,-0.075,-0.157,-0.332,-0.289,-0.226,-0.217,-0.535,-0.538,-0.651,-0.531,-0.517,-0.577,-0.673,-0.886,-0.679,-0.354,-0.531,-0.649,-0.576,-0.274,-0.794,-1.068,-1.099,-1.135,-1.123,-1.128,-1.133
Bhutan,0.014,0.005,-0.071,-0.079,-0.094,-0.078,-0.093,-0.083,-0.057,-0.071,-0.028,-0.025,-0.07,-0.04,-0.034,0.045,0.045,0.018,0.039,0.009,-0.04,-0.039,-0.081,-0.138,-0.122,-0.235,-0.038,0.084,-0.111,-0.076,-0.319,-0.517,-0.388,-0.463,-0.484,-0.551,-0.624,-0.541,-0.462,-0.502,-0.301,-0.282,-0.28,-0.279,-0.179,-0.049,-0.035,0.006
Bolivia,-0.007,-0.279,-0.13,-0.101,-0.075,-0.296,-0.302,-0.401,-0.133,0.033,-0.196,-0.255,-0.406,-0.419,-0.238,-0.335,-0.333,-0.553,-0.667,-0.489,-0.446,-0.274,-0.35,0.084,0.325,0.622,1.317,1.591,1.993,0.814,0.874,0.537,1.97,1.054,0.57,-1.936,-1.907,-1.898,-1.725,-1.377,-0.141,0.217,-0.609,-0.853,-1.214,-1.574,-1.895,-2.273
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,-0.345,-0.501,-0.396,-0.743,-1.191,-1.631,-1.639,-1.844,-0.998,-1.45,-2.643,-1.131,-1.031,-1.767,-1.486,-0.968,-1.364,-0.826,-0.804,-0.876,-0.662,-0.565,-0.752,-0.536,-1.177,-0.981,-0.971,-1.029,-1.073,-1.141
Botswana,-0.151,-0.304,-0.145,-0.079,-0.059,0.082,0.109,0.628,0.194,0.492,-0.019,0.303,0.198,0.427,0.222,0.3,0.495,0.721,0.17,0.583,0.545,0.595,0.263,0.717,0.317,1.598,1.951,1.654,0.15,-0.648,-0.744,-0.132,-0.821,0.647,1.713,0.301,1.203,0.9,0.067,-1.171,-1.62,-0.082,0.089,0.553,0.721,0.771,0.833,0.886
Brazil,-12.807,-11.735,-16.311,-6.837,0.04,-0.228,-5.651,-1.435,4.173,1.034,-3.785,-1.405,6.145,-0.592,-1.681,-18.712,-23.843,-30.625,-33.787,-25.816,-24.96,-23.719,-8.142,3.588,11.093,13.843,13.089,0.425,-30.935,-26.429,-79.237,-76.488,-84.432,-79.99,-101.679,-54.789,-24.475,-22.033,-51.46,-65.03,-24.492,-27.926,-27.555,-32.506,-37.426,-42.346,-46.938,-52.376
Brunei Darussalam,,2.711,2.758,2.525,2.922,3.158,1.993,2.265,2.246,2.153,2.355,2.466,1.81,1.225,1.588,1.154,1.354,1.212,0.752,1.545,2.998,2.603,2.347,2.904,3.325,4.507,5.752,5.857,6.953,3.842,5.016,6.43,5.683,3.778,5.459,2.157,1.47,1.985,0.937,0.895,0.542,1.111,6.472,4.167,3.396,2.971,2.728,2.668
Bulgaria,0.954,0.122,0.177,0.036,0.535,-0.136,-0.951,-0.72,-0.402,-0.769,-1.71,-0.077,-0.36,-1.099,-0.032,-0.206,0.441,1.532,0.172,-0.398,-0.412,-0.514,-0.103,-0.715,-1.119,-2.816,-5.253,-10.616,-12.026,-4.326,-0.874,0.19,-0.46,0.711,0.705,0,1.651,1.961,0.628,1.285,-0.184,-1.634,-1.984,-1.961,-1.901,-3.179,-1.474,-0.116
Burkina Faso,-0.049,-0.042,-0.092,-0.06,-0.003,-0.063,-0.018,-0.05,-0.047,0.099,-0.077,-0.091,-0.023,-0.071,0.015,-0.092,-0.211,-0.223,-0.208,-0.337,-0.319,-0.291,-0.3,-0.368,-0.532,-0.635,-0.544,-0.561,-0.967,-0.381,-0.182,-0.16,-0.162,-1.346,-0.999,-0.895,-0.78,-0.709,-0.665,-0.524,-0.026,-0.591,-1.123,-1.123,-1.233,-1.286,-1.342,-1.429
Burundi,-0.083,-0.067,-0.127,-0.133,-0.118,-0.041,-0.036,-0.095,-0.07,-0.011,-0.069,-0.033,-0.06,-0.028,-0.017,0.01,-0.04,0.006,-0.044,-0.039,-0.061,-0.031,-0.104,-0.11,-0.06,-0.052,-0.271,-0.44,-0.158,-0.112,-0.249,-0.324,-0.434,-0.506,-0.423,-0.358,-0.327,-0.372,-0.346,-0.348,-0.315,-0.45,-0.637,-0.577,-0.608,-0.564,-0.572,-0.584
Cabo Verde,-0.071,-0.024,-0.013,-0.012,-0.007,-0.005,0.002,0.014,-0.006,-0.026,-0.018,-0.017,-0.02,-0.033,-0.046,-0.062,-0.035,-0.03,-0.058,-0.083,-0.06,-0.06,-0.069,-0.091,-0.133,-0.034,-0.06,-0.196,-0.245,-0.248,-0.207,-0.304,-0.219,-0.09,-0.169,-0.051,-0.064,-0.139,-0.103,-0.008,-0.271,-0.243,-0.23,-0.188,-0.16,-0.159,-0.163,-0.168
Cambodia,,,,,,,,,,,,,-0.025,-0.04,-0.095,-0.162,-0.247,0.045,-0.172,-0.169,-0.096,-0.039,-0.097,-0.166,-0.116,-0.24,-0.047,-0.143,-0.685,-1.03,-0.983,-1.029,-1.212,-1.289,-1.429,-1.58,-1.699,-1.756,-2.895,-4.067,-3.057,-6.99,-4.889,-2.865,-2.869,-3.21,-3.503,-3.855
Cameroon,-0.445,-0.482,-0.386,-0.412,-0.169,-0.562,-0.452,-0.893,-0.426,-0.29,-0.551,-0.336,-0.366,-0.512,-0.056,0.09,-0.287,-0.582,-0.151,-0.51,-0.218,-0.348,-0.439,-0.598,-0.416,-0.496,0.194,0.286,-0.452,-1.123,-0.857,-0.749,-0.956,-1.128,-1.402,-1.174,-1.037,-0.95,-1.409,-1.695,-1.517,-1.475,-0.73,-1.426,-1.85,-2.125,-2.265,-2.366
Canada,-6.088,-12.843,1.527,-2.865,-1.63,-6.075,-11.598,-13.958,-15.589,-22.439,-20.459,-22.843,-21.441,-22.219,-13.778,-4.987,2.619,-8.76,-8.485,1.212,18.99,16.351,13.191,11.026,24.072,22.619,19.064,12.094,2.287,-40.047,-57.616,-48.633,-64.62,-58.011,-41.891,-54.402,-47.188,-46.226,-41.01,-35.455,-29.389,1.238,24.622,-2.11,-13.889,-31.481,-42.134,-51.026
Central African Republic,-0.043,-0.004,-0.043,-0.029,-0.033,-0.049,-0.087,-0.073,-0.035,-0.033,-0.089,-0.062,-0.072,-0.006,-0.024,-0.093,-0.033,-0.025,-0.063,-0.018,-0.013,-0.017,-0.016,-0.025,-0.022,-0.088,-0.044,-0.106,-0.197,-0.179,-0.202,-0.166,-0.14,-0.05,-0.253,-0.154,-0.097,-0.162,-0.182,-0.112,-0.202,-0.275,-0.291,-0.242,-0.235,-0.222,-0.222,-0.21
Chad,0.012,0.023,0.019,0.038,0.009,-0.087,-0.059,-0.026,0.026,-0.051,-0.046,-0.066,-0.086,-0.117,-0.038,-0.17,-0.196,-0.195,-0.154,-0.169,-0.214,-0.576,-1.898,-1.359,-0.758,0.07,0.341,0.708,0.37,-0.765,-0.911,-0.708,-0.968,-1.189,-1.251,-1.509,-1.064,-0.715,-0.149,-0.48,-0.81,-0.53,0.167,-0.313,-0.657,-0.901,-1.015,-1.114
Chile,-1.971,-4.733,-2.304,-1.117,-2.111,-1.413,-1.191,-0.735,-0.231,-0.691,-0.484,-0.099,-0.958,-2.554,-1.585,-1.345,-3.094,-3.694,-3.971,0.1,-0.894,-1.147,-0.583,-0.15,3.016,2.104,7.111,7.499,-6.965,3.313,3.151,-6.913,-11.826,-13.585,-9.317,-6.778,-6.572,-7.684,-13.438,-14.455,-4.777,-21.172,-14.329,-11.962,-10.856,-10.829,-10.609,-11.499
"China, People's Republic of",,,,,,,,,,,,,,,,,,36.963,31.471,21.114,20.432,17.405,35.422,43.052,68.941,132.378,231.843,353.183,420.569,243.257,237.81,136.097,215.392,148.204,236.047,293.022,191.337,188.676,24.131,102.91,248.838,317.301,213.375,214.644,202.033,183.259,136.571,120.073
Colombia,-0.015,-1.722,-2.885,-2.826,-2.088,-1.596,0.535,-0.021,-0.215,-0.201,0.544,2.347,0.876,-2.221,-3.672,-4.599,-4.642,-5.751,-4.858,0.671,0.845,-1.04,-1.289,-0.912,-0.775,-1.948,-2.991,-6.15,-6.497,-4.433,-8.583,-9.735,-11.64,-12.365,-19.819,-18.702,-12.587,-9.924,-14.041,-14.808,-9.207,-17.83,-11.73,-12.53,-14.725,-16.112,-16.934,-17.933
